Year,Month,Amount,Term,Bank,State,City,Zip,CreateJob,NoEmp,RealEstate,RevLineCr,UrbanRural,Default
2005,December,45018,68,BANK OF AMERICA NATL ASSOC,CA,INGLEWOOD,90305,0,4,No,Y,Urban,1
2005,November,67597,84,BANK OF AMERICA NATL ASSOC,CA,CAMARILLO,93010,0,5,No,Y,Urban,0
2005,March,13107,18,BANK OF AMERICA NATL ASSOC,CA,CASTRO VALLEY,94546,0,1,No,Y,Urban,1
2006,June,568000,240,CDC SMALL BUS. FINAN CORP,CA,ANAHEIM,92807,20,345,Yes,N,Urban,0
2005,November,100000,47,BANK OF AMERICA NATL ASSOC,CA,AGOURA HILLS,91301,0,7,No,N,Urban,1
1997,June,357000,240,CDC SMALL BUS. FINAN CORP,CA,OCEANSIDE,92056,13,7,Yes,N,Rural,0
2005,May,14900,84,BANK OF AMERICA NATL ASSOC,CA,CHATSWORTH,91311,0,1,No,Y,Urban,0
2005,June,33500,42,BANK OF AMERICA NATL ASSOC,CA,ANAHEIM,92807,0,4,No,N,Urban,1
2005,September,100000,33,CAPITAL ONE NATL ASSOC,CA,San Diego,92130,1,2,No,N,Urban,1
2005,September,50000,57,CAPITAL ONE NATL ASSOC,CA,LOS ANGELES,90036,1,9,No,N,Urban,1
2005,May,10000,84,BANK OF AMERICA NATL ASSOC,CA,PLEASANTON,94588,0,1,No,Y,Urban,0
2005,April,10000,36,BANK OF AMERICA NATL ASSOC,CA,NORTH HOLLYWOOD,91607,0,30,No,N,Urban,0
2005,September,81937,30,BANK OF AMERICA NATL ASSOC,CA,TORRANCE,90504,0,16,No,N,Urban,1
2005,June,10000,84,BANK OF AMERICA NATL ASSOC,CA,CHULA VISTA,91914,0,2,No,Y,Urban,0
2005,November,35000,84,CAPITAL ONE NATL ASSOC,CA,SAN YSIDRO,92173,2,4,No,N,Urban,0
2005,February,139892,84,BANK OF AMERICA NATL ASSOC,CA,PALOS VERDES PENINSULA,90274,1,4,No,Y,Urban,0
1997,January,504000,300,HANMI BANK,CA,LOS ANGELES,90006,0,5,Yes,N,Rural,0
2005,February,50000,71,BANK OF AMERICA NATL ASSOC,CA,HUNTINGTON BEACH,92649,0,12,No,Y,Urban,1
2005,July,50000,29,BANK OF AMERICA NATL ASSOC,CA,SAN DIEGO,92101,0,18,No,Y,Urban,1
2005,February,82804,73,CALIFORNIA BANK & TRUST,CA,Los Angeles,90016,1,6,No,Y,Urban,1
2005,August,35000,42,BANK OF AMERICA NATL ASSOC,CA,DOWNEY,90242,12,5,No,Y,Urban,1
2005,September,111500,84,BANK OF AMERICA NATL ASSOC,CA,SOUTH PASADENA,91030,3,12,No,Y,Urban,0
2005,November,50000,84,CAPITAL ONE NATL ASSOC,CA,TEMPLE CITY,91780,3,5,No,N,Urban,0
1997,August,48449,84,BANK OF AMERICA CALIFORNIA N.A,CA,ALBANY,94706,0,1,No,N,Urban,0
2006,February,557000,240,MORTGAGE CAP. DEVEL CORP,CA,SAN FRANCISCO,94115,5,6,Yes,N,Urban,0
2005,February,46003,43,CAPITAL ONE NATL ASSOC,CA,WALNUT,91789,2,3,No,Y,Urban,1
2006,December,394200,268,EAST WEST BANK,CA,CONCORD,94519,3,5,Yes,N,Urban,1
2005,July,93595,11,BANK OF AMERICA NATL ASSOC,CA,SAN DIEGO,92108,0,2,No,Y,Urban,1
2005,September,12970,33,BANK OF AMERICA NATL ASSOC,CA,SALINAS,93906,0,1,No,N,Urban,0
2005,August,28500,84,CALIFORNIA BANK & TRUST,CA,North Hollywood,91606,0,4,No,Y,Undefined,0
2005,January,25000,43,CAPITAL ONE NATL ASSOC,CA,IRVINE,92612,0,2,No,N,Urban,1
2005,May,79500,84,BANK OF AMERICA NATL ASSOC,CA,GLENDALE,91201,0,4,No,Y,Urban,0
2005,April,25000,32,CAPITAL ONE NATL ASSOC,CA,LOS ANGELES,90010,0,1,No,N,Urban,1
2005,August,75000,23,CAPITAL ONE NATL ASSOC,CA,Arcata,95521,0,6,No,N,Urban,1
2006,November,914000,240,SBA - EDF ENFORCEMENT ACTION,CA,VISTA,92084,6,34,Yes,N,Urban,0
2005,April,30000,84,BANK OF AMERICA NATL ASSOC,CA,COSTA MESA,92627,0,6,No,Y,Urban,0
2005,October,35000,58,CAPITAL ONE NATL ASSOC,CA,SYLMAR,91342,0,1,No,N,Urban,1
2005,May,187000,36,BANK OF AMERICA NATL ASSOC,CA,WOODLAND HILLS,91364,0,3,No,N,Urban,1
2005,November,50000,63,CAPITAL ONE NATL ASSOC,CA,SAN BERNARDINO,92411,0,12,No,N,Urban,1
2006,September,51751,41,WELLS FARGO BANK NATL ASSOC,CA,MANTECA,95337,1,1,No,Y,Urban,1
2005,March,50000,84,BANK OF AMERICA NATL ASSOC,CA,BEVERLY HILLS,90211,0,3,No,N,Urban,0
1997,April,302000,300,CALIFORNIA BANK & TRUST,CA,CLOVIS,93611,0,6,Yes,N,Rural,0
2005,March,50000,84,CAPITAL ONE NATL ASSOC,CA,MANHATTAN BEACH,90266,0,80,No,N,Urban,0
2005,June,109000,55,BANK OF AMERICA NATL ASSOC,CA,ROSEVILLE,95678,0,3,No,Y,Urban,1
2005,July,92446,84,BANK OF AMERICA NATL ASSOC,CA,NORTH HOLLYWOOD,91601,0,1,No,Y,Urban,0
2005,November,55000,84,BANK OF AMERICA NATL ASSOC,CA,PLEASANT HILL,94523,0,6,No,Y,Urban,0
2005,November,81475,41,BANK OF AMERICA NATL ASSOC,CA,CHINO HILLS,91709,0,2,No,N,Urban,1
2005,July,93000,84,CALIFORNIA BANK & TRUST,CA,San Diego,92101,1,5,No,Y,Urban,0
2005,January,20000,36,BANK OF AMERICA NATL ASSOC,CA,MORENO VALLEY,92553,0,5,No,N,Urban,0
2005,February,69500,84,BANK OF AMERICA NATL ASSOC,CA,SAN GABRIEL,91776,3,3,No,Y,Urban,0
2005,January,44750,53,BANK OF AMERICA NATL ASSOC,CA,CAPITOLA,95010,2,2,No,Y,Urban,1
2005,December,21500,84,BANK OF AMERICA NATL ASSOC,CA,IDYLLWILD,92549,0,5,No,Y,Urban,0
2006,April,150000,73,BANCO POPULAR NORTH AMERICA,CA,BELL GARDENS,90201,69,31,No,Y,Urban,0
2005,October,20505,4,BANK OF AMERICA NATL ASSOC,CA,OAKLAND,94606,1,2,No,Y,Urban,1
2005,June,1240000,300,PACIFIC CITY BANK,CA,La Habra,90631,0,21,Yes,N,Urban,0
2005,October,140000,84,CALIFORNIA BANK & TRUST,CA,San Diego,92110,50,21,No,N,Urban,0
2005,April,22964,84,CALIFORNIA BANK & TRUST,CA,San Diego,92110,50,21,No,Y,Urban,0
2005,November,100000,78,TELESIS COMMUNITY CU,CA,HEMET,92544,2,2,No,N,Urban,1
1997,September,257000,300,U.S. BANK NATIONAL ASSOCIATION,CA,CATHEDRAL CITY,92234,0,9,Yes,N,Rural,0
2005,September,65000,84,BANK OF AMERICA NATL ASSOC,CA,LOS ANGELES,90004,1,1,No,Y,Urban,0
2005,September,24046,59,BANK OF AMERICA NATL ASSOC,CA,PLAYA DEL REY,90293,0,5,No,Y,Urban,1
2005,December,5000,63,BANK OF AMERICA NATL ASSOC,CA,INGLEWOOD,90303,0,2,No,Y,Urban,1
2005,May,50000,51,CAPITAL ONE NATL ASSOC,CA,CORONA,92883,1,5,No,N,Urban,1
2006,November,43509,54,JPMORGAN CHASE BANK NATL ASSOC,CA,PASADENA,91106,2,3,No,Y,Undefined,1
2006,September,105000,240,CDC SMALL BUS. FINAN CORP,CA,RIVERSIDE,92501,3,20,Yes,N,Urban,0
2005,April,45000,44,BANK OF AMERICA NATL ASSOC,CA,CANOGA PARK,91303,0,13,No,N,Urban,1
2005,September,61483,84,BANK OF AMERICA NATL ASSOC,CA,SAN BERNARDINO,92404,0,1,No,Y,Urban,0
1997,August,140000,120,MUFG UNION BANK NATL ASSOC,CA,GROVER BEACH,93433,0,7,No,N,Rural,0
2005,May,70112,84,U.S. BANK NATIONAL ASSOCIATION,CA,SAN FRANCISCO,94104,0,3,No,Y,Urban,0
2005,January,53450,61,U.S. BANK NATIONAL ASSOCIATION,CA,SACRAMENTO,95821,1,1,No,Y,Urban,1
2005,January,74432,22,"PNC BANK, NATIONAL ASSOCIATION",CA,Citrus Heights,95621,9,1,No,Y,Undefined,1
2006,September,825000,120,WELLS FARGO BANK NATL ASSOC,CA,SALINAS,93905,0,6,No,N,Urban,0
1997,August,720000,300,WILSHIRE BANK,CA,LOS ANGELES,90004,0,7,Yes,N,Rural,0
2005,January,50000,49,CAPITAL ONE NATL ASSOC,CA,BENICIA,94510,2,2,No,N,Urban,1
2005,September,10800,60,BANK OF THE SIERRA,CA,REEDLEY,93654,2,2,No,N,Urban,0
2006,March,45000,7,BANK OF AMERICA NATL ASSOC,CA,LOS ANGELES,90039,0,1,No,N,Urban,1
1997,June,369000,300,MERRILL LYNCH BANK USA,CA,LAKE FOREST,92630,0,130,Yes,N,Rural,0
2006,December,62267,39,U.S. BANK NATIONAL ASSOCIATION,CA,AUBURN,95603,0,1,No,Y,Urban,1
2006,April,50000,84,U.S. BANK NATIONAL ASSOCIATION,CA,CARLSBAD,92009,0,1,No,Y,Urban,0
2006,May,329825,84,BANK OF AMERICA NATL ASSOC,CA,MANHATTAN BEACH,90266,0,1,No,Y,Urban,0
2006,December,50000,84,CAPITAL ONE NATL ASSOC,CA,ONTARIO,91762,3,1,No,N,Urban,0
2006,October,98863,84,JPMORGAN CHASE BANK NATL ASSOC,CA,WALNUT,91789,0,5,No,Y,Undefined,0
2006,January,83768,84,JPMORGAN CHASE BANK NATL ASSOC,CA,THOUSAND OAKS,91362,2,5,No,Y,Undefined,0
2006,November,100000,44,CAPITAL ONE NATL ASSOC,CA,NEWPORT BEACH,92660,6,1,No,N,Urban,1
1997,May,100000,120,WILSHIRE BANK,CA,LOS ANGELES,90004,0,7,No,N,Rural,0
2006,February,74300,56,BANK OF AMERICA NATL ASSOC,CA,ESCONDIDO,92026,2,3,No,Y,Urban,1
2006,August,60399,84,CALIFORNIA BANK & TRUST,CA,Hayward,94541,0,2,No,Y,Urban,0
1997,May,50000,120,WILSHIRE BANK,CA,BELLFLOWER,90706,0,1,No,N,Rural,0
2006,March,35000,43,BANK OF AMERICA NATL ASSOC,CA,OAKDALE,95361,0,9,No,N,Urban,1
2006,March,12973,84,U.S. BANK NATIONAL ASSOCIATION,CA,SUNNYVALE,94089,1,1,No,Y,Urban,0
2006,November,49959,38,WELLS FARGO BANK NATL ASSOC,CA,NORTH HOLLYWOOD,91606,0,3,No,Y,Urban,1
2006,August,37695,58,CAPITAL ONE NATL ASSOC,CA,RIVERSIDE,92504,0,5,No,Y,Urban,1
2006,January,100000,40,CAPITAL ONE NATL ASSOC,CA,PALO ALTO,94301,2,2,No,N,Urban,1
2006,October,209210,8,U.S. BANK NATIONAL ASSOCIATION,CA,LOS ANGELES,90010,0,4,No,Y,Urban,1
2006,July,40000,60,BANK OF AMERICA NATL ASSOC,CA,LAGUNA HILLS,92653,1,7,No,Y,Urban,0
2006,October,58292,57,U.S. BANK NATIONAL ASSOCIATION,CA,ROCKLIN,95677,0,13,No,Y,Urban,1
2006,October,74500,51,BANK OF AMERICA NATL ASSOC,CA,SACRAMENTO,95825,1,10,No,Y,Urban,1
2006,December,45736,84,U.S. BANK NATIONAL ASSOCIATION,CA,LOS ANGELES,90025,1,5,No,Y,Urban,0
2006,June,84492,20,CAPITAL ONE NATL ASSOC,CA,LOS ANGELES,90063,3,12,No,Y,Urban,1
2006,June,12700,55,BANK OF AMERICA NATL ASSOC,CA,SAN JOSE,95128,0,2,No,Y,Urban,1
2006,January,25000,55,CAPITAL ONE NATL ASSOC,CA,SAN JOSE,95123,2,1,No,N,Urban,1
2006,December,252539,84,U.S. BANK NATIONAL ASSOCIATION,CA,SAN FRANCISCO,94111,0,2,No,Y,Urban,0
2006,January,669000,240,CDC SMALL BUS. FINAN CORP,CA,SANTA ANA,92701,3,13,Yes,N,Urban,0
2006,April,60000,48,WELLS FARGO BANK NATL ASSOC,CA,NEWPORT BEACH,92663,1,1,No,Y,Urban,1
2006,July,49310,84,BANK OF AMERICA NATL ASSOC,CA,SAN JOSE,95128,0,3,No,Y,Urban,0
2006,November,35000,53,CAPITAL ONE NATL ASSOC,CA,SANTA PAULA,93060,2,2,No,N,Urban,1
2006,February,952000,300,WELLS FARGO BANK NATL ASSOC,CA,Glendale,91205,4,4,Yes,N,Urban,0
2006,November,133922,46,BANK OF AMERICA NATL ASSOC,CA,SAN BERNARDINO,92408,0,5,No,Y,Urban,1
2006,March,10500,62,BANK OF AMERICA NATL ASSOC,CA,WHITTIER,90606,1,2,No,Y,Urban,1
1997,October,500000,300,MERRILL LYNCH BANK USA,CA,THOUSAND OAKS,91360,0,10,Yes,N,Rural,0
2006,January,89500,84,BANK OF AMERICA NATL ASSOC,CA,LOS ANGELES,90046,0,3,No,Y,Urban,0
2006,December,79000,43,BANK OF AMERICA NATL ASSOC,CA,SANTA ANA,92701,1,2,No,N,Urban,1
2006,January,65000,84,BANK OF AMERICA NATL ASSOC,CA,HAYWARD,94541,0,1,No,Y,Urban,0
2006,March,7000,49,BANK OF AMERICA NATL ASSOC,CA,STOCKTON,95212,0,1,No,N,Urban,1
2006,October,25029,52,U.S. BANK NATIONAL ASSOCIATION,CA,SAN DIEGO,92109,0,1,No,Y,Urban,1
2006,September,15000,84,CAPITAL ONE NATL ASSOC,CA,SAN FRANCISCO,94108,1,4,No,N,Urban,0
2006,February,46723,47,CAPITAL ONE NATL ASSOC,CA,"SACREMENTO,",95814,0,1,No,Y,Urban,1
2006,March,85000,46,CALIFORNIA BANK & TRUST,CA,Sacramento,95831,0,7,No,Y,Urban,1
2006,July,50000,59,CAPITAL ONE NATL ASSOC,CA,MANTECA,95337,2,1,No,N,Urban,1
2006,September,31850,53,BANK OF AMERICA NATL ASSOC,CA,HUNTINGTON BEACH,92648,0,3,No,Y,Urban,1
2006,December,905000,240,CDC SMALL BUS. FINAN CORP,CA,RANCHO CUCAMONGA,91730,5,34,Yes,N,Urban,0
2006,April,50000,84,CAPITAL ONE NATL ASSOC,CA,LOS ANGELES,90020,2,2,No,N,Urban,0
1998,October,50000,120,WILSHIRE BANK,CA,RIVERSIDE,92509,0,2,No,N,Rural,0
2006,February,79500,54,BANK OF AMERICA NATL ASSOC,CA,FONTANA,92336,1,4,No,Y,Urban,1
2006,March,35600,72,BANK OF AMERICA NATL ASSOC,CA,BEVERLY HILLS,90210,0,4,No,Y,Urban,1
2006,January,14880,64,BANK OF AMERICA NATL ASSOC,CA,MURRIETA,92562,0,2,No,Y,Urban,1
2006,August,9350,55,BANK OF AMERICA NATL ASSOC,CA,SAN DIMAS,91773,0,4,No,Y,Urban,0
2006,May,60500,50,BANK OF AMERICA NATL ASSOC,CA,PANORAMA CITY,91402,2,3,No,Y,Urban,1
2006,July,50000,21,WILSHIRE BANK,CA,Los Angeles,90005,0,1,No,N,Urban,1
2006,December,32952,50,U.S. BANK NATIONAL ASSOCIATION,CA,SACRAMENTO,95842,1,2,No,Y,Urban,1
2006,March,50000,84,BANK OF AMERICA NATL ASSOC,CA,LOS ALTOS,94023,0,1,No,Y,Urban,0
2006,March,29000,84,BANK OF AMERICA NATL ASSOC,CA,LOS ANGELES,90041,0,1,No,Y,Urban,0
2006,January,25000,58,"BUSINESS LOAN CENTER, LLC",CA,La Mesa,91941,1,5,No,N,Urban,1
2006,June,50000,59,BANK OF AMERICA NATL ASSOC,CA,FULLERTON,92832,0,5,No,Y,Urban,1
2006,August,25000,37,CAPITAL ONE NATL ASSOC,CA,ONTARIO,91764,2,30,No,N,Urban,1
2006,November,77872,61,U.S. BANK NATIONAL ASSOCIATION,CA,RANCHO SANTA MARGARITA,92688,0,1,No,Y,Urban,1
2006,February,25000,65,CAPITAL ONE NATL ASSOC,CA,BURBANK,91506,3,2,No,N,Urban,1
2006,July,452942,84,BANK OF AMERICA NATL ASSOC,CA,OAKDALE,95361,3,1,No,Y,Urban,0
2006,December,64500,42,BANK OF AMERICA NATL ASSOC,CA,MOORPARK,93021,1,13,No,N,Urban,1
2006,October,123471,84,CALIFORNIA BANK & TRUST,CA,San Francisco,94124,0,2,No,Y,Urban,0
2006,November,37064,32,BANK OF AMERICA NATL ASSOC,CA,LONG BEACH,90806,0,2,No,Y,Urban,1
2006,August,92929,24,CAPITAL ONE NATL ASSOC,CA,CLOVIS,93619,2,5,No,Y,Urban,1
2006,April,20000,23,CAPITAL ONE NATL ASSOC,CA,SANTA CLARITA,91390,0,3,No,N,Urban,1
2006,September,50000,61,CAPITAL ONE NATL ASSOC,CA,RANCHO SANTA MARGARITA,92688,0,1,No,N,Urban,1
2006,April,1117000,240,SOUTHLAND ECONOMIC DEVEL CORP,CA,COSTA MESA,92627,6,19,Yes,N,Urban,0
2006,October,14356,36,BANK OF AMERICA NATL ASSOC,CA,FULLERTON,92833,0,1,No,Y,Urban,1
2006,November,17900,61,BANK OF AMERICA NATL ASSOC,CA,BEVERLY HILLS,90212,0,1,No,Y,Urban,1
2006,September,100000,60,CALIFORNIA BANK & TRUST,CA,FULLERTON,92832,1,4,No,N,Urban,1
2006,January,1067000,283,U.S. BANK NATIONAL ASSOCIATION,CA,SAN PABLO,94805,21,24,Yes,N,Urban,1
2006,November,62092,56,JPMORGAN CHASE BANK NATL ASSOC,CA,RANCH SANTA MARGARITA,92688,0,4,No,Y,Undefined,1
2006,January,133736,29,CAPITAL ONE NATL ASSOC,CA,DOWNEY,90241,6,31,No,Y,Urban,1
2006,January,50000,84,BANK OF AMERICA NATL ASSOC,CA,SAN DIEGO,92106,0,3,No,Y,Urban,0
2006,May,181219,84,U.S. BANK NATIONAL ASSOCIATION,CA,SAINT HELENA,94574,0,2,No,Y,Urban,0
2006,February,89186,84,U.S. BANK NATIONAL ASSOCIATION,CA,HUNTINGTON BEACH,92648,1,2,No,Y,Urban,0
2006,November,118885,84,U.S. BANK NATIONAL ASSOCIATION,CA,OCEANSIDE,92056,1,1,No,Y,Urban,0
2006,June,399602,24,PACIFIC WESTERN BANK,CA,SAN DIEGO,92106,0,2,No,Y,Urban,0
2006,March,10000,71,BANK OF AMERICA NATL ASSOC,CA,HUNTINGTON BEACH,92648,0,1,No,Y,Urban,1
2006,July,25000,64,CAPITAL ONE NATL ASSOC,CA,GARDENA,90249,3,5,No,N,Urban,1
2006,March,12414,35,BANK OF AMERICA NATL ASSOC,CA,LOS ANGELES,90005,0,1,No,Y,Urban,1
2006,December,171248,55,BANK OF AMERICA NATL ASSOC,CA,LOS ANGELES,90010,3,7,No,N,Urban,1
2006,July,73000,84,BANK OF AMERICA NATL ASSOC,CA,SAN FRANCISCO,94111,0,1,No,Y,Urban,0
2006,August,15100,48,BANK OF AMERICA NATL ASSOC,CA,SANTA BARBARA,93140,0,3,No,Y,Urban,1
2006,June,89313,84,U.S. BANK NATIONAL ASSOCIATION,CA,PALOS VERDES PENINSULA,90274,0,1,No,Y,Urban,0
2006,June,98493,61,CAPITAL ONE NATL ASSOC,CA,FREMONT,94536,0,38,No,Y,Urban,1
1998,May,100000,120,CALIFORNIA BANK & TRUST,CA,SAN LEANDRO,94577,0,1,No,N,Rural,0
2006,July,14121,5,BANK OF AMERICA NATL ASSOC,CA,SOUTH EL MONTE,91733,0,1,No,Y,Urban,0
2006,September,25000,9,UMPQUA BANK,CA,San Diego,92110,2,4,No,N,Urban,1
2006,March,23037,22,U.S. BANK NATIONAL ASSOCIATION,CA,SAN CARLOS,94070,0,1,No,Y,Urban,1
