Date,BTC,BTT,DOGE,ETH,LTC,XRP,SOLVE,XLM,TRON,ZIL
2019-04-30,5270.69,,0.002513,152.36,66.55,0.309476,,0.099953,0.023971,0.017296
2019-04-29,5148.25,,0.002466,153.19,67.78,0.294289,,0.096475,0.022839,0.016536
2019-04-28,5155,,0.002531,155.66,70.55,0.297426,,0.098736,0.023592,0.017338
2019-04-27,5170.6,,0.002516,153.41,71.64,0.296741,,0.099951,0.023643,0.017916
2019-04-26,5159.51,,0.002519,152.05,70.67,0.298502,,0.09914,0.023892,0.017103
2019-04-25,5134.81,,0.002506,165.75,73.14,0.289384,,0.099075,0.023,0.017349
2019-04-24,5441.9,,0.002599,170.14,74.32,0.302318,,0.103259,0.023416,0.019303
2019-04-23,5532.75,,0.002772,171.6,76.93,0.321222,,0.111824,0.024467,0.020064
2019-04-22,5387.6,,0.002798,169.9,77.23,0.323934,,0.113495,0.025153,0.020967
2019-04-21,5297.64,,0.00276,173.73,81.69,0.322449,,0.112404,0.024985,0.021047
2019-04-20,5319.89,,0.002902,173.83,82.57,0.328476,,0.115532,0.026188,0.021889
2019-04-19,5290.37,,0.002893,174.15,82.07,0.331902,,0.115737,0.026559,0.022219
2019-04-18,5281.81,,0.002946,166.54,79.15,0.337065,,0.117363,0.026953,0.022146
2019-04-17,5227,,0.00281,166.38,80.89,0.335453,,0.116636,0.026775,0.021436
2019-04-16,5202.9,,0.002835,160.24,78.24,0.327218,,0.117505,0.027037,0.021314
2019-04-15,5029.99,,0.00279,168.27,83.77,0.320913,,0.113629,0.026491,0.020682
2019-04-14,5164.27,,0.002882,163.75,77.95,0.328809,,0.116663,0.027062,0.021099
2019-04-13,5066.22,,0.002872,164.27,78.92,0.326031,,0.115898,0.026317,0.020409
2019-04-12,5078.19,,0.002856,164.92,79.23,0.326346,,0.114609,0.026558,0.020812
2019-04-11,5040.12,,0.002789,177.55,88.43,0.330984,,0.116685,0.026714,0.020331
2019-04-10,5318.58,,0.003021,175.83,86.89,0.354792,,0.125462,0.030101,0.022806
2019-04-09,5193.49,,0.002884,180.74,89.49,0.349462,,0.125384,0.029954,0.022668
2019-04-08,5285.54,,0.003045,174.84,91.88,0.358234,,0.131996,0.030732,0.024042
2019-04-07,5194.79,,0.003418,165.79,92.37,0.359856,,0.130303,0.028895,0.024847
2019-04-06,5044.13,,0.003439,166.08,88.88,0.354405,,0.124729,0.02686,0.025119
2019-04-05,5040.66,,0.00359,157.65,84.95,0.361803,,0.126367,0.027239,0.024953
2019-04-04,4907.3,,0.003697,161.33,85.72,0.332513,,0.118788,0.025982,0.022738
2019-04-03,4975.97,,0.003164,164.69,77.5,0.342234,,0.121339,0.025944,0.022189
2019-04-02,4901.93,,0.002795,141,60.35,0.351499,,0.121901,0.026884,0.02251
2019-04-01,4137.01,,0.002461,137.59,59.32,0.312747,,0.109615,0.02434,0.020646
2019-03-19,3975.01,,0.00208,137.01,58.99,0.309229,,0.107651,0.023523,0.020319
2019-03-18,3970.5,,0.00208,138.07,60.29,0.310632,,0.107359,0.023292,0.01955
2019-03-17,3967.01,,0.002087,140.48,61.01,0.307929,,0.107572,0.023319,0.019196
2019-03-16,3990,,0.002074,135.99,58.13,0.309246,,0.10744,0.023382,0.019913
2019-03-15,3902.8,,0.002085,131.4,55.61,0.312465,,0.108062,0.023623,0.019733
2019-03-14,3853.95,,0.002054,131.16,55.06,0.30506,,0.103379,0.022629,0.018718
2019-03-13,3851.02,,0.002043,132.8,56.2,0.304055,,0.102469,0.022747,0.019009
2019-03-12,3860,,0.002054,132.05,54.65,0.308992,,0.106012,0.023366,0.020286
2019-03-11,3849.68,,0.002064,134.66,56.3,0.312359,,0.108281,0.024404,0.019902
2019-03-10,3900.92,,0.002052,136.41,57.43,0.311541,,0.108693,0.022749,0.019531
2019-03-09,3917,,0.002054,132.75,55.33,0.312718,,0.107947,0.022472,0.01859
2019-03-08,3843.12,,0.002061,136.29,56.51,0.31961,,0.111403,0.023081,0.019396
2019-03-07,3857.05,,0.002091,137,55.17,0.319281,,0.113248,0.023091,0.01849
2019-03-06,3851.89,,0.002083,136.3,52.3,0.31744,,0.115914,0.023003,0.018148
2019-03-05,3844.59,,0.002081,125.24,45.64,0.317612,,0.109385,0.02314,0.018174
2019-03-04,3700.72,,0.002077,129.78,47.49,0.320468,,0.109619,0.023374,0.018441
2019-03-03,3786.93,,0.002048,132.32,48.25,0.315052,,0.107773,0.023171,0.0184
2019-03-02,3809.7,,0.002039,134.72,46.81,0.312955,,0.107272,0.022648,0.01827
2019-03-01,3806.17,,0.002025,134.48,45.44,0.314098,,0.108199,0.022441,0.018478
2019-02-28,3792.14,,0.002012,134.46,44.96,0.310201,,0.104598,0.022399,0.0179
2019-02-27,3799.92,,0.001966,135.76,44.66,0.311065,,0.102263,0.022245,0.017455
2019-02-26,3799.48,,0.001999,137.64,45.37,0.313107,,0.100039,0.023071,0.017842
2019-02-25,3818.79,,0.001998,131.76,43.57,0.313826,,0.089744,0.022875,0.018167
2019-02-24,3734.22,,0.00198,157.56,51.19,0.310087,,0.087246,0.022564,0.017225
2019-02-23,4110,,0.001991,146.68,49.07,0.314766,,0.085541,0.023188,0.016999
2019-02-22,3942.02,,0.001983,144.21,48.46,0.317031,,0.085566,0.023431,0.016823
2019-02-21,3897.71,,0.001985,147.19,51.08,0.316507,,0.086299,0.023997,0.016989
2019-02-20,3938.99,,0.001982,142.69,46.91,0.305133,,0.083539,0.022937,0.016342
2019-02-19,3888.01,,0.001999,144.56,47.34,0.312554,,0.087235,0.022723,0.017008
2019-02-18,3867,,0.002003,132.34,43.45,0.315126,,0.08446,0.022937,0.017261
2019-02-17,3625.08,,0.001994,121.56,43.15,0.317312,,0.085833,0.023726,0.01726
2019-02-16,3582.37,,0.001976,120.42,42.08,0.315078,,0.085503,0.023867,0.017139
2019-02-15,3566.59,,0.002019,119.39,40.93,0.313106,,0.086195,0.024131,0.017484
2019-02-14,3561.5,,0.002023,120.74,41.21,0.319477,,0.0868,0.024412,0.017828
2019-02-13,3576.68,,0.00203,120.82,43.35,0.32851,,0.087305,0.02445,0.017504
2019-02-12,3588.06,,0.001974,119.55,42.37,0.301443,,0.084234,0.023809,0.016883
2019-02-11,3590.36,,0.002083,123.94,46.51,0.33262,,0.094257,0.025455,0.019224
2019-02-10,3648.85,,0.002056,118.06,44.2,0.321904,,0.090668,0.025158,0.018427
2019-02-09,3623.73,,0.002028,117.98,42.56,0.321291,,0.089091,0.024804,0.018227
2019-02-08,3622,,0.002079,103.21,32.85,0.33288,,0.091735,0.025228,0.018911
2019-02-07,3359,,0.002067,103.36,32.47,0.323768,,0.089982,0.024993,0.018793
2019-02-06,3367.36,,0.002114,106,33.95,0.321568,,0.083691,0.024984,0.0181
2019-02-05,3428.4,,0.001992,106.08,33.64,0.30337,,0.079608,0.023818,0.017603
2019-02-04,3409.57,,0.001924,105.94,32.87,0.301703,,0.078421,0.023954,0.017266
2019-02-03,3414.78,,0.001908,109.3,34.18,0.301759,,0.079276,0.024056,0.016892
2019-02-02,3468.43,,0.001897,105.88,32.37,0.301909,,0.076635,0.023726,0.016761
2019-02-01,3437.5,,0.001893,105.79,31.24,0.304284,,0.07699,0.024209,0.017015
2019-01-31,3411.49,,0.001894,107.61,31.53,0.30519,,0.077616,0.024533,0.017118
2019-01-30,3437.55,,0.001906,104.02,30.69,0.302741,,,0.024727,
2019-01-29,3397.42,,0.001946,105.47,30.96,0.309909,,,0.025814,
2019-01-28,3429.95,,0.001949,111.35,32.02,0.311284,,,0.026265,
2019-01-27,3531.01,,0.001956,115.01,32.64,0.311683,,,0.0268,
2019-01-26,3556.07,,0.001845,114.95,32.73,0.291618,,,0.025702,
2019-01-25,3562.18,,0.001866,116.4,32.47,0.290727,,,0.025575,
2019-01-24,3568.97,,0.001888,116.55,31.6,0.299239,,,0.026178,
2019-01-23,3553.01,,0.001896,118.1,31.48,0.300198,,,0.027058,
2019-01-22,3577.03,,0.001904,115.86,30.82,0.302352,,,0.025442,
2019-01-21,3531.76,,0.001936,117.43,30.61,0.310912,,,0.026112,
2019-01-20,3536.19,,0.001916,123.17,32.22,0.308517,,,0.026271,
2019-01-19,3682.65,,0.001925,119.53,30.96,0.310036,,,0.02543,
2019-01-18,3607.85,,0.001961,122.55,31.62,0.320461,,,0.02729,
2019-01-17,3640.65,,0.001927,122.12,31.4,0.289558,,,0.027341,
2019-01-16,3609.71,,0.001944,120.06,31.01,0.294863,,,0.026888,
2019-01-15,3580.76,,0.002027,128.37,32.07,0.309439,,,0.029282,
2019-01-14,3664.19,,0.002083,115.55,29.92,0.314235,,,0.028659,
2019-01-13,3514.24,,0.002118,124.59,32.04,0.317165,,,0.026767,
2019-01-12,3619.41,,0.002039,125.83,31.79,0.317598,,,0.026909,
2019-01-11,3635.69,,0.002043,126.41,33.27,0.316492,,,0.026557,
2019-01-10,3626.12,,0.002057,149.5,38.58,0.319491,,,0.026385,
2019-01-09,4004.12,,0.002101,148.97,39.13,0.32079,,,0.02561,
2019-01-08,3993.86,,0.002119,150.62,37.66,0.321177,,,0.02387,
2019-01-07,4006.01,,0.002153,155.92,38.88,0.331001,,,0.024568,
2019-01-06,4040.99,,0.002106,154.21,34.48,0.324277,,,0.024801,
2019-01-05,3798.62,,0.002094,153.24,32.02,0.329353,,,0.025321,
2019-01-04,3820.25,,0.002138,147.23,31.6,0.329701,,,0.02518,
2019-01-03,3787.57,,0.002111,153.5,32.94,0.327179,,,0.024558,
2019-01-02,3890.79,,0.002183,139.75,31.68,0.333766,,,0.025671,
2019-01-01,3826.09,,0.002094,130.53,29.78,0.317863,,,0.02129,
2018-12-31,3691.86,,0.002148,138.78,31.56,0.3288,,,0.0235,
2018-12-30,3829,,0.002129,134.15,30.69,0.332904,,,0.025128,
2018-12-29,3729.31,,0.002132,136.82,32.22,0.332652,,,0.025847,
2018-12-28,3888.06,,0.002266,114.63,27.72,0.37089,,,0.028418,
2018-12-27,3589.89,,0.002276,130.47,30.52,0.365315,,,0.026336,
2018-12-26,3809.88,,0.002285,128.82,30.77,0.364347,,,0.023601,
2018-12-25,3780,,0.002328,139.03,33.05,0.368395,,,0.023005,
2018-12-24,4034,,0.002319,129.61,33.07,0.355275,,,0.022294,
2018-12-23,3944.93,,0.002315,116.09,31.59,0.356747,,,0.021492,
2018-12-22,3980.46,,0.00236,107.74,30.2,0.360224,,,0.020088,
2018-12-21,3839.06,,0.002407,114.6,32.36,0.375243,,,0.020222,
2018-12-20,4075.34,,0.002392,99.34,29.05,0.364771,,,0.019561,
2018-12-19,3682.51,,0.002346,101,30.12,0.352706,,,0.018826,
2018-12-18,3667.77,,0.002367,93.79,28.88,0.369581,,,0.019947,
2018-12-17,3496.82,,0.002403,83.74,25.24,0.367252,,,0.020004,
2018-12-16,3195,,0.002434,83.03,23.4,0.376852,,,0.020868,
2018-12-15,3183,,0.002364,83,23.17,0.341162,,,0.018488,
2018-12-14,3195.71,,0.002474,85.35,22.84,0.378693,,,0.020447,
2018-12-13,3265,,0.002404,89.09,24,0.380872,,,0.020008,
2018-12-12,3430.24,,0.00254,87.23,23.28,0.406799,,,0.02107,
2018-12-11,3355.68,,0.002542,89.23,23.97,0.37127,,,0.020911,
2018-12-10,3410.15,,0.002502,92.79,25.3,0.362308,,,0.020966,
2018-12-09,3531.18,,0.002545,89.99,24.19,0.35857,,,0.020021,
2018-12-08,3401,,0.002731,92.45,24.77,0.378199,,,0.017385,
2018-12-07,3380.01,,0.00272,89.25,26.25,0.351956,,,0.015665,
2018-12-06,3433.26,,0.002684,100.71,28.71,0.350162,,,0.014831,
2018-12-05,3694.39,,0.002533,108.61,30.71,0.328453,,,0.014221,
2018-12-04,3901.84,,0.002125,107.21,30.5,0.287929,,,0.013022,
2018-12-03,3833.47,,0.002113,114.76,33.34,0.285883,,,0.012784,
2018-12-02,4103.19,,0.00207,116.82,33.77,0.28879,,,0.012775,
2018-12-01,4142.01,,0.002065,111.88,31.66,0.300026,,,0.013058,
2018-11-30,3975.48,,0.002111,116.38,33.5,0.307323,,,0.013353,
2018-11-29,4248,,0.002088,121.95,34.43,0.301345,,,0.013291,
2018-11-28,4225.03,,0.0021,108.58,30.85,0.303766,,,0.013317,
2018-11-27,3775,,0.002102,106.95,29.1,0.31337,,,0.013625,
2018-11-26,3731.32,,0.00212,114.3,30.43,0.307269,,,0.013467,
2018-11-25,3936.69,,0.002104,110.08,28.6,0.301997,,,0.013225,
2018-11-24,3774.99,,0.002097,121.44,31.69,0.310936,,,0.012817,
2018-11-23,4283.8,,0.00218,123.2,31.3,0.338242,,,0.013952,
2018-11-22,4263.66,,0.002196,134.73,34.29,0.352231,,,0.014412,
2018-11-21,4545.11,,0.002371,127.55,32.28,0.348754,,,0.013868,
2018-11-20,4349.23,,0.002246,145.21,35.75,0.367627,,,0.014935,
2018-11-19,4733.5,,0.00225,175.87,41.86,0.372906,,,0.015184,
2018-11-18,5560,,0.002165,172.48,41.54,0.362455,,,0.01439,
2018-11-17,5504.17,,0.002241,172.4,41.73,0.379562,,,0.015695,
2018-11-16,5512.24,,0.002246,178.89,43.36,0.390557,,,0.014649,
2018-11-15,5579.52,,0.002087,177.79,42.69,0.360163,,,0.011855,
2018-11-14,5605.46,,0.002099,203.2,48.84,0.355451,,,0.011661,
2018-11-13,6259.35,,0.00222,208.77,50.33,0.374551,,,0.012373,
2018-11-12,6327.86,,0.002224,209.88,50.8,0.375336,,,0.012548,
2018-11-11,6357.6,,0.002361,210.29,51.86,0.407428,,,0.01367,
2018-11-10,6347.42,,0.002412,208.01,51.66,0.42608,,,0.013876,
2018-11-09,6334.89,,0.002448,210.34,52.04,0.447651,,,0.014726,
2018-11-08,6406.25,,0.002254,216.84,53.82,0.434726,,,0.013839,
2018-11-07,6503.12,,0.002418,218.51,55.84,0.478166,,,0.015803,
2018-11-06,6448.5,,0.002643,208.53,53.45,0.510473,,,0.018849,
2018-11-05,6404,,0.002595,210.06,53.88,0.491654,,,0.018809,
2018-11-04,6423.28,,0.002746,198.35,50.61,0.471609,,,0.018896,
2018-11-03,6331.96,,0.0028,199.75,51.13,0.481708,,,0.019076,
2018-11-02,6349.8,,0.002695,197.96,50.19,0.474372,,,0.01936,
2018-11-01,6343.99,,0.002945,196.95,49.47,0.510112,,,0.021999,
2018-10-31,6304.18,,0.003064,195.35,48.95,0.517165,,,0.022471,
2018-10-30,6267.63,,0.003162,194.29,48.44,0.505913,,,0.022811,
2018-10-29,6266,,0.003285,202.43,51.53,0.506698,,,0.023023,
2018-10-28,6403.62,,0.00314,201.46,51.53,0.500668,,,0.023028,
2018-10-27,6409.12,,0.003384,200.7,51.59,0.493508,,,0.023115,
2018-10-26,6404.87,,0.003637,199.65,51.71,0.535707,,,0.023774,
2018-10-25,6395.58,,0.003696,200.68,51.85,0.54908,,,0.024421,
2018-10-24,6415.97,,0.003622,201.12,52.1,0.497412,,,0.023745,
2018-10-23,6395.14,,0.003676,201.25,51.67,0.462691,,,0.023273,
2018-10-22,6407.65,,0.003733,202.12,52.23,0.455667,,,0.022701,
2018-10-21,6415.88,,0.003773,202.69,52.83,0.458685,,,0.02286,
2018-10-20,6414,,0.003777,200,52.5,0.455722,,,0.022575,
2018-10-19,6382.98,,0.003764,199.09,51.73,0.448382,,,0.022192,
2018-10-18,6394.96,,0.00385,203.21,52.81,0.444759,,,0.022191,
2018-10-17,6443.7,,0.003847,203.55,53.44,0.441514,,,0.022185,
2018-10-16,6422.16,,0.004063,204.12,53.39,0.462406,,,0.023555,
2018-10-15,6436.98,,0.004195,191.87,51.36,0.456348,,,0.023274,
2018-10-14,6183.49,,0.003984,196.72,53.05,0.459288,,,0.023586,
2018-10-13,6196,,0.003717,194.1,53.03,0.458052,,,0.023144,
2018-10-12,6188.01,,0.003911,188.32,50.55,0.457237,,,0.02348,
2018-10-11,6154.69,,0.004172,223.61,57.49,0.462058,,,0.023477,
2018-10-10,6524.56,,0.004366,226.15,58.43,0.453109,,,0.023811,
2018-10-09,6589.48,,0.004517,227.68,59.24,0.456694,,,0.024196,
2018-10-08,6608.07,,0.004551,224.82,57.9,0.459151,,,0.024157,
2018-10-07,6570,,0.00447,223.85,57.7,0.454178,,,0.024074,
2018-10-06,6552.43,,0.004386,226.89,58.47,0.457725,,,0.024271,
2018-10-05,6593.94,,0.004599,221,58,0.468197,,,0.024234,
2018-10-04,6547.45,,0.005017,219.01,57.25,0.470253,,,0.024358,
2018-10-03,6466.03,,0.005218,224.85,59.2,0.447316,,,0.025082,
2018-10-02,6498.46,,0.005158,230.4,60.22,0.403286,,,0.023622,
2018-10-01,6572.83,,0.005182,232.27,61.05,0.418878,,,0.023565,
2018-09-30,6605,,0.005247,231.01,61.45,0.419115,,,0.022738,
2018-09-29,6582,,0.005,220.67,61.75,0.38313,,,0.020929,
2018-09-28,6620.01,,0.005552,229,63.11,0.462387,,,0.025355,
2018-09-27,6680.01,,0.005635,214.15,57.21,0.479857,,,0.026058,
2018-09-26,6455.66,,0.005578,219.19,57.57,0.489751,,,0.026592,
2018-09-25,6436.89,,0.005562,228.01,57.94,0.482039,,,0.026875,
2018-09-24,6582.09,,0.005545,244.35,61.31,0.488082,,,0.023715,
2018-09-23,6696.99,,0.005669,240.71,60.53,0.519026,,,0.023275,
2018-09-22,6707.33,,0.005645,247.76,60.83,0.526606,,,0.022703,
2018-09-21,6750,,0.005704,224.41,56.56,0.528162,,,0.0216,
2018-09-20,6493.11,,0.005824,209.81,54.28,0.520837,,,0.022093,
2018-09-19,6386.94,,0.005942,208.5,54,0.576461,,,0.022052,
2018-09-18,6335.7,,0.005906,195.97,52.05,0.581572,,,0.022165,
2018-09-17,6250.7,,0.005865,220.19,56.78,0.571228,,,0.022035,
2018-09-16,6498,,0.005831,221.69,56.34,0.539112,,,0.021978,
2018-09-15,6518.68,,0.005879,210,56.33,0.541381,,,0.022507,
2018-09-14,6478.04,,0.005695,211.39,54.66,0.516308,,,0.021028,
2018-09-13,6485.99,,0.005686,182.79,51.6,0.526941,,,0.02128,
2018-09-12,6326,,0.005677,185.15,51.97,0.494712,,,0.022089,
2018-09-11,6282.53,,0.005901,196.94,54.3,0.570689,,,0.023791,
2018-09-10,6299.99,,0.005758,195.91,54.71,0.570798,,,0.023176,
2018-09-09,6235.01,,0.005684,197,53.2,0.561462,,,0.02493,
2018-09-08,6188,,0.005695,215.21,55.5,0.449918,,,0.021413,
2018-09-07,6395.01,,0.005609,229.66,57.48,0.326053,,,0.019753,
2018-09-06,6495,,0.005981,227.56,57.68,0.32186,,,0.019389,
2018-09-05,6687.96,,0.006243,285.43,67.75,0.272251,,,0.018517,
2018-09-04,7360,,0.006531,288.6,65.37,0.281166,,,0.019975,
2018-09-03,7256.98,,0.006165,295.06,66.23,0.282008,,,0.019933,
2018-09-02,7295,,0.00618,294.64,66.47,0.277159,,,0.019832,
2018-09-01,7191.08,,0.006554,281.94,62.13,0.280583,,,0.019946,
2018-08-31,7015.01,,0.006455,284.52,60.25,0.270087,,,0.018243,
2018-08-30,6983,,0.006329,289,61.54,0.26371,,,0.018677,
2018-08-29,7030.9,,0.006892,295.39,63.18,0.270321,,,0.019381,
2018-08-28,7071.01,,0.005829,287.99,60.7,0.27868,,,0.019365,
2018-08-27,6911.9,,0.005692,274.25,57.11,0.279333,,,0.019312,
2018-08-26,6709.98,,0.005307,277.97,58.01,0.291435,,,0.020595,
2018-08-25,6737.52,,0.00501,281.35,57.94,0.30271,,,0.021644,
2018-08-24,6690.88,,0.004931,275.87,57.31,0.283601,,,0.02181,
2018-08-23,6526.36,,0.005269,270.47,55.2,0.331652,,,0.025255,
2018-08-22,6359.99,,0.005266,281.49,56.39,0.335961,,,0.025037,
2018-08-21,6475.9,,0.004999,270.76,53.39,0.342523,,,0.025572,
2018-08-20,6258.74,,0.006278,300.03,57.85,0.347721,,,0.02659,
2018-08-19,6489.53,,0.004794,296.61,57.38,0.335332,,,0.025345,
2018-08-18,6396.64,,0.003206,317.54,61.82,0.335444,,,0.024897,
2018-08-17,6585.49,,0.002606,286.67,55.47,0.344803,,,0.025426,
2018-08-16,6315.9,,0.002607,281.21,54.44,0.351837,,,0.026847,
2018-08-15,6269.01,,0.002462,278.37,54.39,0.336903,,,0.02446,
2018-08-14,6195.01,,0.002404,284.11,56.48,0.323776,,,0.022764,
2018-08-13,6253.67,,0.00237,312.65,55.75,0.32823,,,0.022481,
2018-08-12,6112.21,,0.002426,312.65,55.75,0.327606,,,0.021606,
2018-08-11,6112.21,,0.002385,330.99,59.14,0.327709,,,0.020771,
2018-08-10,6146.01,,0.002315,363.99,63.08,0.319803,,,0.019712,
2018-08-09,6546.46,,0.002424,355.7,62.27,0.335177,,,0.021003,
2018-08-08,6282.5,,0.002369,378.08,67.36,0.319283,,,0.020661,
2018-08-07,6718.22,,0.002473,404.99,73.58,0.343978,,,0.022263,
2018-08-06,6938,,0.002394,408.83,74.65,0.3271,,,0.021619,
2018-08-05,7030.01,,0.002455,407,73.04,0.366676,,,0.023281,
2018-08-04,7005,,0.002292,417.8,77.6,0.292436,,,0.019521,
2018-08-03,7414.08,,0.002303,410.71,76.23,0.282005,,,0.019443,
2018-08-02,7533.92,,0.00226,419.6,77.64,0.274272,,,0.019059,
2018-08-01,7603.99,,0.002331,432.16,78.86,0.277466,,,0.019362,
2018-07-31,7727.27,,0.002404,456.47,82.22,0.29787,,,0.022581,
2018-07-30,8170.01,,0.002404,466.01,83.93,0.301262,,,0.022614,
2018-07-29,8216.34,,0.002392,468.12,83.99,0.320426,,,0.023822,
2018-07-28,8228.9,,0.002555,469.3,84.52,0.346771,,,0.025941,
2018-07-27,8184.21,,0.002415,461.42,83.46,0.331944,,,0.024482,
2018-07-26,7931.99,,0.002671,470.81,86.35,0.381006,,,0.027866,
2018-07-25,8157.15,,0.002779,478.78,89.06,0.414081,,,0.029228,
2018-07-24,8401.01,,0.002837,449,81.52,0.433638,,,0.030329,
2018-07-23,7720.09,,0.002745,456.9,82.22,0.428507,,,0.028932,
2018-07-22,7397.8,,0.002918,461.5,83.5,0.440571,,,0.030602,
2018-07-21,7408,,0.002946,448.21,81.72,0.430254,,,0.031539,
2018-07-20,7334.46,,0.00316,468.39,86.14,0.445852,,,0.032643,
2018-07-19,7470.01,,0.002945,478.81,86.27,0.435225,,,0.033926,
2018-07-18,7378.99,,0.003273,499.01,88.98,0.446107,,,0.036452,
2018-07-17,7315.01,,0.003307,478.18,83.53,0.453306,,,0.039236,
2018-07-16,6728.81,,0.0034,449.41,78.51,0.453667,,,0.036782,
2018-07-15,6348.73,,0.003418,434.13,76.2,0.453635,,,0.036504,
2018-07-14,6248.65,,0.003393,432.8,76.68,0.44992,,,0.035996,
2018-07-13,6216.29,,0.003543,431.46,76.97,0.459829,,,0.037122,
2018-07-12,6249.75,,0.00362,446.25,78.35,0.457623,,,0.038107,
2018-07-11,6390.04,,0.003431,432.59,75.95,0.445276,,,0.034061,
2018-07-10,6303.7,,0.003458,471.6,80.49,0.449311,,,0.035123,
2018-07-09,6664.01,,0.00327,486.08,82.2,0.45541,,,0.035603,
2018-07-08,6701.97,,0.00341,484.48,84.7,0.446994,,,0.034906,
2018-07-07,6753.28,,0.003844,469.3,82.96,0.476433,,,0.037917,
2018-07-06,6600,,0.003712,467.25,83.29,0.486389,,,0.039661,
2018-07-05,6532.95,,0.003228,466.9,85.4,0.505587,,,0.039759,
2018-07-04,6587.47,,0.002854,461.75,84.96,0.483401,,,0.037521,
2018-07-03,6502.62,,0.00238,476.34,85.45,0.445894,,,0.034364,
2018-07-02,6611.79,,0.002362,451.43,79.89,0.439271,,,0.033429,
2018-07-01,6349.5,,0.002332,453.29,81.01,0.438741,,,0.03334,
2018-06-30,6383.19,,0.002306,434.6,78.94,0.435364,,,0.032228,
2018-06-29,6202.36,,0.002425,420,74.25,0.450233,,,0.033578,
2018-06-28,5851.66,,0.002411,441.41,80.73,0.445042,,,0.033588,
2018-06-27,6132.17,,0.002603,429.08,75.8,0.47427,,,0.035798,
2018-06-26,6074.94,,0.002611,458.41,81.67,0.477749,,,0.0371,
2018-06-25,6246.01,,0.002645,454.79,80.61,0.492477,,,0.038334,
2018-06-24,6149.99,,0.002597,475.17,83.21,0.479151,,,0.036975,
2018-06-23,6178.29,,0.002599,462.01,85.03,0.481625,,,0.037861,
2018-06-22,6059.82,,0.00268,525.49,96.69,0.490043,,,0.038895,
2018-06-21,6719.01,,0.002638,536,97.83,0.485223,,,0.038867,
2018-06-20,6756.1,,0.002703,538.5,98.58,0.486122,,,0.039529,
2018-06-19,6736.41,,0.002489,517.47,98.63,0.461358,,,0.037885,
2018-06-18,6709.02,,0.002499,496.5,95.01,0.466245,,,0.038423,
2018-06-17,6447.16,,0.002427,497.31,96.67,0.45308,,,0.037237,
2018-06-16,6484.29,,0.002357,487.45,95.54,0.448458,,,0.036665,
2018-06-15,6391.22,,0.002437,519.75,101.12,0.47037,,,0.038987,
2018-06-14,6638.49,,0.002478,476.02,93.82,0.456001,,,0.038262,
2018-06-13,6302.32,,0.002485,494.14,100.19,0.481753,,,0.042349,
2018-06-12,6544.99,,0.00251,531.68,107.47,0.47738,,,0.04246,
2018-06-11,6881,,0.002641,525.25,106.97,0.491284,,,0.044179,
2018-06-10,6770.31,,0.002668,593.41,117.43,0.486947,,,0.043136,
2018-06-09,7496.4,,0.002988,598.59,120.04,0.534775,,,0.04862,
2018-06-08,7618.8,,0.003021,603.56,121.63,0.539286,,,0.049394,
2018-06-07,7684.93,,0.003033,606.18,121.37,0.549621,,,0.049503,
