interest_differential,next_month_currency_return,IMF Country Code
0.0014351,0.008025634,CAN
-0.0038402,-0.044959757,JPN
0.0043419,0.044312214,AUS
0.0024091,-0.039616505,NZL
-0.0023319,0.002743256,SGP
0.0043085,-0.001373855,GBR
0.004171,0.02821316,BEL
0.0013648,0.019387544,DNK
-0.0005488,0.029140821,FRA
0.0022496,0.027410028,DEU
0.0011548,0.019940406,ITA
0.0009717,0.026881151,NLD
0.0037308,0.007625024,NOR
0.0044029,0.009111863,SWE
-0.0010938,0.025659172,CHE
0.0014995,-0.011754865,CAN
-0.0012626,0.024842252,JPN
0.0101944,-0.094620513,AUS
0.0084991,0.03569873,NZL
-0.0022322,-0.000518565,SGP
0.002193,-0.027633803,GBR
-0.0020131,-0.033685279,BEL
-0.0013274,-0.037265687,DNK
-0.001219,-0.032549773,FRA
-0.0033345,-0.035878447,DEU
0.0008267,-0.03412437,ITA
-0.0029965,-0.03730718,NLD
0.0008991,-0.025970219,NOR
0.000854,-0.02055148,SWE
-0.0037921,-0.066806869,CHE
0.0015068,0.006366782,CAN
-0.0053668,-0.045307233,JPN
0.005471,0.033325146,AUS
0.0022098,-0.00522341,NZL
-0.0033218,-0.018265329,SGP
0.0025491,0.002195406,GBR
-0.0015209,0.005572469,BEL
-0.000998,0.008089041,DNK
-0.0011494,0.006247032,FRA
-0.0031441,0.003564739,DEU
0.0014893,0.011741193,ITA
-0.002552,0.006560627,NLD
0.0009806,0.01013249,NOR
0.0011591,0.009795465,SWE
-0.0028724,-0.00914255,CHE
0.002188,0.007160918,CAN
-0.0046022,-0.006849832,JPN
0.0058623,-0.024312765,AUS
0.0033182,0.003816063,NZL
-0.0034933,0.001794909,SGP
0.0036917,-0.065709069,GBR
-0.000965,-0.049433351,BEL
-0.000688,-0.051294353,DNK
-0.0006413,-0.053641483,FRA
-0.0022805,-0.051581862,DEU
0.0022678,-0.037687753,ITA
-0.0020708,-0.049647015,NLD
0.0010054,-0.044889941,NOR
0.001631,-0.043369534,SWE
-0.0010563,-0.021290293,CHE
0.002651,-0.013189545,CAN
-0.0040857,-0.07036905,JPN
0.0071792,-0.049834881,AUS
0.0029765,-0.04722662,NZL
-0.0030225,-0.006035811,SGP
0.0040768,-0.012562129,GBR
-0.0009809,0.015441202,BEL
-0.0001054,0.014316716,DNK
0,0.010659613,FRA
-0.0021534,0.009475006,DEU
0.0022974,0.015392767,ITA
-0.0018635,0.007674096,NLD
0.0008691,0.004796265,NOR
0.0019104,0.007061617,SWE
-0.0017297,0.015017852,CHE
0.0024178,0.00893155,CAN
-0.003757,-0.016180565,JPN
0.0078266,0.013901439,AUS
0.0030323,-0.016731645,NZL
-0.003062,-0.006827983,SGP
0.0046292,0.081053037,GBR
-0.0005112,0.041656047,BEL
0.0003442,0.045328719,DNK
0.0002688,0.04903123,FRA
-0.0016055,0.041815954,DEU
0.003386,0.055721163,ITA
-0.00133,0.04338538,NLD
0.0022893,0.041853981,NOR
0.0026912,0.042569564,SWE
-0.0013676,0.040564027,CHE
0.0030423,0.016419848,CAN
-0.0032901,0.047153259,JPN
0.008576,0.007857308,AUS
0.0038536,0.024043494,NZL
-0.002465,0.003487668,SGP
0.0040757,-0.051822824,GBR
-0.0004884,-0.045166023,BEL
9.19E-05,-0.04564857,DNK
6.05E-05,-0.042875498,FRA
-0.0015857,-0.045693805,DEU
0.0027384,-0.041274902,ITA
-0.0012701,-0.046282907,NLD
0.0014996,-0.037068691,NOR
0.0021888,-0.032912692,SWE
-0.0012441,-0.048194241,CHE
0.0027174,0.007738085,CAN
-0.0028414,-0.055017339,JPN
0.0069283,0.019940406,AUS
0.0033154,0.017612503,NZL
-0.0025458,-0.01098403,SGP
0.0045262,0.031523154,GBR
-0.000254,0.03961401,BEL
0.0005764,0.045051431,DNK
0.0004723,0.040614184,FRA
-0.0011221,0.043204264,DEU
0.0024164,0.032148137,ITA
-0.0011357,0.041948481,NLD
0.0017653,0.03413466,NOR
0.0022267,0.033826948,SWE
-0.0012338,0.040012362,CHE
0.0025424,0.000593976,CAN
-0.0034493,0.033644183,JPN
0.0082584,0.021467889,AUS
0.0037754,-5.91E-05,NZL
-0.0024526,0.001020621,SGP
0.0055852,-0.018145649,GBR
0.0007753,0.017838641,BEL
0.0031055,0.021253914,DNK
0.0013127,0.017701242,FRA
-0.0004348,0.016245547,DEU
0.0031397,0.011690708,ITA
-0.0003371,0.016899406,NLD
0.0021328,0.004676802,NOR
0.002633,0.003010924,SWE
-0.0007447,0.004962774,CHE
0.0028926,0.006645685,CAN
-0.0021763,-0.025806471,JPN
0.0079446,0.017360064,AUS
0.0041041,-0.002173834,NZL
-0.0024051,-0.000919977,SGP
0.0052983,-0.000318249,GBR
0.0013317,0.031716376,BEL
0.0027687,0.033891667,DNK
0.0014974,0.029345435,FRA
-0.0005053,0.03266909,DEU
0.0034626,0.033542994,ITA
-0.0001494,0.033756546,NLD
0.0028144,0.012800028,NOR
0.0023382,0.009725084,SWE
-0.0010691,0.012445003,CHE
0.002918,0.011688887,CAN
-0.001823,-0.003222397,JPN
0.0078725,0.008686107,AUS
0.0045309,0.007961828,NZL
-0.0022132,0.003496097,SGP
0.0058447,0.032386074,GBR
0.0031859,0.055189213,DNK
0.0025028,0.051052455,FRA
-5.91E-05,0.052675165,DEU
0.0039339,0.037682333,ITA
0.0002619,0.051964428,NLD
0.0033303,0.03589087,NOR
0.0030608,0.029348214,SWE
0.0007784,0.031343272,CHE
0.0034483,0.007685684,CAN
-0.0016024,-0.008075219,JPN
0.0078679,0.017377563,AUS
0.0041555,0.013265922,NZL
-0.0015802,0.021421005,SGP
0.0050709,0.047954637,GBR
0.00207,0.013353776,DNK
0.0016919,0.012603665,FRA
0.0004747,0.003798195,DEU
0.0027916,0.017172481,ITA
0.0002631,0.004999958,NLD
0.0017209,0.017608636,NOR
0.0073023,0.012540683,SWE
-0.0035313,0.025739894,CHE
0.0033698,-0.019409267,CAN
-0.0017328,-0.006786666,JPN
0.0058273,-0.018763433,AUS
0.0015614,0.014484093,NZL
0.0002682,0.01786765,SGP
0.005576,0.011064565,GBR
0.0032515,0.002918852,DNK
0.001779,0.001693332,FRA
0,-0.004723111,DEU
0.0037898,0.003597154,ITA
0.0004718,-0.003408478,NLD
0.0024806,-0.001349189,NOR
0.0058551,0.011695463,SWE
0.0006712,0.005975985,CHE
0.0050251,-0.001679288,CAN
-0.0010086,-0.031250002,JPN
0.0061413,-0.005247583,AUS
0.0044627,-0.019244318,NZL
-0.0009646,-0.001499774,SGP
0.0052385,-0.020879148,GBR
0.0025509,0.010944255,DNK
0.001474,0.007761868,FRA
-0.0005335,0.003733352,DEU
0.0024034,0.00721873,ITA
-0.0001574,0.000629398,NLD
0.0032253,-0.003626708,NOR
0.00484,0.004557755,SWE
0.0005345,-0.003943305,CHE
0.0039206,0.022203202,CAN
-0.0010748,-0.060663496,JPN
0.0056465,-0.001132458,AUS
0.0039906,-0.010894718,NZL
-0.0007961,-0.010503944,SGP
0.0058816,-0.00024427,GBR
0.0021121,0.014330511,DNK
0.001189,0.012678702,FRA
-0.0003575,0.004825706,DEU
0.0024361,0.016056949,ITA
-0.0001059,0.009211265,NLD
0.0032435,0.008918838,NOR
0.0042421,0.009634819,SWE
0.0006196,0.030991747,CHE
0.0042863,0.009965629,CAN
0.0004406,-0.004847314,JPN
0.0057585,-0.000975024,AUS
0.0043048,-0.003451231,NZL
-0.0006404,0.004801289,SGP
0.0057444,0.029863635,GBR
0.001779,-0.009290078,DNK
0.0012563,-0.015591475,FRA
-0.0001766,-0.012128351,DEU
0.0028017,-0.011623222,ITA
-5.25E-05,-0.009024136,NLD
0.0024069,0.004865699,NOR
0.0034687,-0.001892307,SWE
0.0004188,0.014240848,CHE
0.0045872,-0.004682801,CAN
-0.0008537,0.043124358,JPN
0.0052123,0.030587162,AUS
0.0044921,0.007792202,NZL
0.0016186,0.011501034,SGP
0.0054559,0.047767594,GBR
0.001813,0.020907257,DNK
0.0013956,0.026803933,FRA
-0.0001202,0.020246332,DEU
0.002247,0.023312895,ITA
-0.0001601,0.016751153,NLD
0.0021375,0.020023432,NOR
0.0030956,0.019862383,SWE
0.0006352,0.011719036,CHE
0.0044524,0.012528938,CAN
-0.0006583,0.001776877,JPN
0.0056899,0.036614381,AUS
0.0044062,0.024670298,NZL
0.0003807,0.008974734,SGP
0.0061462,0.071408031,GBR
0.0018964,0.047949188,DNK
0.0016528,0.051278245,FRA
0.000252,0.048708283,DEU
0.0028323,0.053072625,ITA
0.0003354,0.047917226,NLD
0.0027129,0.043708776,NOR
0.0038988,0.041163357,SWE
0.0008898,0.051483685,CHE
0.0046685,0.014298053,CAN
-0.0004105,0.038645645,JPN
0.0064085,0.007222759,AUS
0.0050741,0.009050006,NZL
0.0001661,0.018383127,SGP
0.0057292,0.02238926,GBR
-0.0009159,0.010319583,DNK
-0.0051063,0.008955765,FRA
-0.0075842,0.007873031,DEU
-0.0054468,-0.001881927,ITA
-0.0087618,0.006922551,NLD
-0.0016952,0.013681953,NOR
-0.0003288,0.009290693,SWE
-0.0103907,0.033078108,CHE
-0.0029455,0.002941217,CAN
0.0009044,0.01712142,JPN
0.0064988,0.033414843,AUS
0.0010432,0.043286055,NZL
0.0001134,0.024560459,SGP
0.0055606,-0.0022344,GBR
0.0016718,0.004350335,DNK
0.0014691,0.003264918,FRA
0.0001278,-0.001086409,DEU
0.0006403,-0.007130655,ITA
5.67E-05,-0.001813554,NLD
0.0022574,0.001435129,NOR
0.0036719,0.002620127,SWE
-0.000231,-0.005003839,CHE
0.0033637,-0.004233215,CAN
-7.25E-05,0.042101451,JPN
0.005203,0.022604905,AUS
0.004736,0.005178764,NZL
-0.0005103,-0.000453497,SGP
0.0049459,0.043268423,GBR
0.0017219,0.031710495,DNK
0.0015365,0.034046349,FRA
0.0003958,0.032662481,DEU
0.0020217,0.031016285,ITA
0.0002928,0.033440679,NLD
0.0025762,0.031090418,NOR
0.0068504,0.027388967,SWE
0.0002335,0.011054858,CHE
0.003594,-0.004372015,CAN
-7.70E-05,0.061869995,JPN
0.0038415,-0.04642214,AUS
0.0050816,0.000306947,NZL
-0.0002932,0.033773087,SGP
0.004333,0.003408696,GBR
0.0010456,0.013425118,DNK
0.0009872,0.003516067,FRA
0.0004664,0.010396573,DEU
0.0034591,0.011816975,ITA
5.92E-05,0.010650922,NLD
0.0020878,0.012025735,NOR
0.0052517,0.011816166,SWE
7.81E-05,0.003358026,CHE
0.002743,0.004892731,CAN
-0.0002262,-0.020429727,JPN
0.0027043,-0.011218597,AUS
0.0034694,-0.001585242,NZL
-0.0019204,-0.00872095,SGP
0.0056666,-0.002791596,GBR
0.002065,-0.010938831,DNK
0.001999,-0.005885214,FRA
0.0012671,0.001801821,DEU
0.0037148,0.000797518,ITA
0.00136,5.92E-05,NLD
0.0032261,-0.005153077,NOR
0.0048748,0.00079962,SWE
0.0008597,0.001250982,CHE
0.0031854,0.007329531,CAN
0.0003316,-0.022697154,JPN
0.0038476,-0.000771003,AUS
0.0029892,-0.03392818,NZL
-0.0020182,-0.011117538,SGP
0.0054062,0.02497262,GBR
0.0024883,0.02061583,DNK
0.0024634,0.015952301,FRA
0.0016222,0.014949645,DEU
0.00413,0.019073315,ITA
0.0015552,0.013050018,NLD
0.0031425,0.020146965,NOR
0.0045923,0.020758114,SWE
0.0008747,0.018377119,CHE
0.003175,-8.60E-05,CAN
0.0008365,0.032674047,JPN
0.0040612,0.018938807,AUS
0.0036443,0.022683751,NZL
-0.0013296,0.000866575,SGP
0.0051899,-0.021939256,GBR
0.0026735,-0.025714016,DNK
0.0020403,-0.028921044,FRA
0.0018967,-0.030638334,DEU
0.004813,-0.020964915,ITA
-0.0019804,-0.026418365,NLD
0.0033867,-0.025829169,NOR
0.0043525,-0.017130279,SWE
0.0012827,-0.050132141,CHE
0.0025186,0.014956546,CAN
-0.0055018,-0.011198821,JPN
0.0047022,0.007855494,AUS
0.0048481,0.00611985,NZL
-0.0028392,0.000231427,SGP
0.0051993,-0.08782717,GBR
0.0026662,-0.102944279,DNK
0.002607,-0.100942152,FRA
0.0023983,-0.103718911,DEU
0.0040469,-0.098031516,ITA
0.0025442,-0.108344204,NLD
0.0033803,-0.100872832,NOR
0.0046929,-0.077502027,SWE
0.0020597,-0.088522345,CHE
0.0028442,-0.004919758,CAN
0.0014139,-0.06388402,JPN
0.0044854,-0.008680802,AUS
0.0041005,-0.016905373,NZL
-0.0008367,-0.039085554,SGP
0.0050518,0,GBR
0.0032609,-0.001519145,DNK
0.002788,-0.000499775,FRA
0.0026151,-0.004015118,DEU
0.0048605,0.002082465,ITA
0.0028903,-0.003256287,NLD
0.0034308,-0.003735506,NOR
0.0051919,0.007564064,SWE
0.0022002,0.00357929,CHE
0.0028637,0.009733162,CAN
0.0019016,0.036237226,JPN
0.0044457,0.013053969,AUS
0.003753,0.004993828,NZL
-5.67E-05,0.016160999,SGP
0.0046002,-0.010653149,GBR
0.0029182,-0.010266041,DNK
0.0029819,-0.012691969,FRA
0.0025277,-0.008915717,DEU
0.0046179,-0.00528976,ITA
0.0026529,-0.00878667,NLD
0.0033619,-0.008123524,NOR
0.0042477,-0.007388966,SWE
0.0016929,-0.013215893,CHE
0.0025298,0.007948322,CAN
0.0015878,-0.011484247,JPN
0.0040202,-0.023333562,AUS
0.0031406,-0.004776556,NZL
0.0003961,-0.002037322,SGP
0.0046404,-0.04238341,GBR
0.002646,-0.041603976,DNK
0.0031793,-0.039626301,FRA
0.0025319,-0.039459949,DEU
0.0044731,-0.043015898,ITA
0.0025389,-0.040479118,NLD
0.0043841,-0.037162476,NOR
0.0035344,-0.045860317,SWE
0.0016018,-0.052260307,CHE
0.0022743,0.005166802,CAN
0.0014498,0.005948523,JPN
0.0032954,0.014047755,AUS
0.0029409,-0.005486295,NZL
0.000963,0.001813543,SGP
0.0044596,0.045271333,GBR
0.0029531,0.035268072,DNK
0.0033446,0.039494981,FRA
0.0028041,0.042464165,DEU
0.0047797,0.039133819,ITA
0.0027876,0.040805987,NLD
0.0039497,0.038695501,NOR
0.0038276,0.037749577,SWE
0.001571,0.023255795,CHE
0.0025149,-0.006251676,CAN
0.0013087,0.0043652,JPN
0.0038057,0.017041477,AUS
0.0029684,-0.007146144,NZL
0.0004596,0.014940815,SGP
0.0042988,0.000297944,GBR
0.0032576,0.005932528,DNK
0.0029021,0.001243172,FRA
0.0029125,0.00080072,DEU
0.0048105,0.00325298,ITA
0.0029398,0.002944125,NLD
0.003802,0.003516268,NOR
0.003888,0.003201614,SWE
0.0020261,0.000261734,CHE
0.0022747,0.011298956,CAN
0.0014958,0.004965286,JPN
0.004074,0.012717893,AUS
0.0028112,0.007928264,NZL
0.0001161,0.010446892,SGP
0.004578,0.047986601,GBR
0.0038134,0.054892747,DNK
0.0035485,0.050558786,FRA
0.0033658,0.055749562,DEU
0.0052073,0.054457799,ITA
0.0034625,0.05432231,NLD
0.0047561,0.053671677,NOR
0.0043894,0.04871898,SWE
0.0026851,0.055911738,CHE
0.0027348,0.010865708,CAN
0.0013159,0.032016546,JPN
0.0031923,0.022382103,AUS
0.0017577,-0.009420546,NZL
-0.0001187,0.022427907,SGP
0.0044249,0.000286741,GBR
0.0033624,-0.005484704,DNK
0.0033263,3.51E-05,FRA
0.0033517,-0.000839348,DEU
0.0048168,-0.001197083,ITA
0.003511,0.002131669,NLD
0.0043516,-0.000229574,NOR
0.0045456,0.002664443,SWE
0.0023903,-0.005538506,CHE
0.0023995,0.009965326,CAN
0.0009563,0.018561054,JPN
0.0024914,-0.021671328,AUS
0.0021155,-0.016272843,NZL
-0.0002964,-0.00106703,SGP
0.0045331,0.018717925,GBR
0.0035468,0.025550765,DNK
0.0039809,0.028029846,FRA
0.0037399,0.0280098,DEU
0.0064204,0.026538949,ITA
0.0036969,0.025653633,NLD
0.0042043,0.024186665,NOR
0.0058573,0.025125865,SWE
0.0026394,0.019613262,CHE
0.0020258,-0.006700749,CAN
0.0009603,0.005188313,JPN
0.002352,0.009419184,AUS
0.0021895,0.010622118,NZL
-0.0010822,0.013399783,SGP
0.0056399,0.06031348,GBR
0.0047206,0.073933204,DNK
0.0051264,0.075591884,FRA
0.0044681,0.07612777,DEU
0.0070127,0.07245874,ITA
0.0045985,0.075145821,NLD
0.0054511,0.075720855,NOR
0.0079324,0.079819827,SWE
0.0032396,0.063126824,CHE
0.0025049,-0.017123596,CAN
0.00108,0.04238369,JPN
0.0030349,-0.029635301,AUS
0.0024293,-0.036160219,NZL
-0.0009261,0.02585622,SGP
0.0052105,-0.036089374,GBR
0.0047643,-0.04397814,DNK
0.0047834,-0.048003671,FRA
0.0044698,-0.050958167,DEU
0.0063285,-0.038091262,ITA
0.0044248,-0.045509988,NLD
0.0052302,-0.044144282,NOR
0.0066701,-0.040034277,SWE
0.002585,-0.048338619,CHE
0.0024695,-0.011680448,CAN
0.0010353,-0.003466179,JPN
0.0026311,-0.006398144,AUS
0.0023194,0.001512042,NZL
0.0003058,-0.009785903,SGP
0.0053057,-0.012751403,GBR
0.0047943,-0.015410031,DNK
0.0049831,-0.009649641,FRA
0.0046898,-0.0144078,DEU
0.0067684,-0.013704723,ITA
0.0047069,-0.017353562,NLD
0.0051314,-0.013796839,NOR
0.006548,-0.01179143,SWE
0.003097,-0.033580622,CHE
0.0025361,-0.00474013,CAN
0.001123,-0.02650131,JPN
0.0024107,0.0046764,AUS
0.0025667,0.014927823,NZL
-0.0001217,-0.004988715,SGP
0.0056595,-0.006692604,GBR
0.0049209,-0.001331113,DNK
0.0052433,5.36E-05,FRA
0.0049724,0.000425491,DEU
0.0069544,-0.001331213,ITA
0.0047941,0.000377971,NLD
0.0050934,-0.002321102,NOR
0.0063397,8.37E-05,SWE
0.0042533,-0.009257384,CHE
0.0024338,-0.004789494,CAN
0.0005631,-0.029703321,JPN
0.0028436,0.02285844,AUS
0.0022927,0.002022042,NZL
-6.04E-05,-0.007847844,SGP
0.0056529,0.027393282,GBR
0.0053026,0.003440204,DNK
0.0052273,0.005616715,FRA
0.0050041,-0.000785691,DEU
0.0069349,0.004143159,ITA
0.0048283,0.000752883,NLD
0.0055175,0.006664107,NOR
0.0067695,0.008469566,SWE
0.0042672,-0.007960546,CHE
0.002338,-0.002675115,CAN
0.0007127,-0.000187582,JPN
0.0020398,-0.014595734,AUS
0.0021489,-0.013660339,NZL
0.0001207,-0.000362134,SGP
0.0049878,0.03684806,GBR
0.0050796,0.0393663,DNK
0.0051023,0.041571677,FRA
0.0048465,0.035689823,DEU
0.0068006,0.035277079,ITA
0.0046903,0.033462381,NLD
0.0053372,0.036453718,NOR
0.0059804,0.037683682,SWE
0.0047311,0.049140859,CHE
0.0018241,-0.004979262,CAN
0.000548,0.044205177,JPN
0.0021927,0.002952049,AUS
0.0021373,-0.003262865,NZL
-0.0001843,0.017936155,SGP
0.0054243,0.046211349,GBR
0.0061261,0.061193162,DNK
0.0054762,0.056002339,FRA
0.0051084,0.059290877,DEU
0.0089481,0.057099461,ITA
0.005053,0.057703555,NLD
0.0055147,0.054629268,NOR
0.0064635,0.05707018,SWE
0.0047944,0.064516175,CHE
0.0014193,0.008605516,CAN
0.0006749,0.014893316,JPN
0.0023144,-0.010389453,AUS
0.0022292,0.019758363,NZL
-0.0004948,0.006492687,SGP
0.0057352,0.015736434,GBR
0.0065746,0.036851378,DNK
0.0058868,0.033463415,FRA
0.0054691,0.036425216,DEU
0.0110253,0.038757305,ITA
0.0054408,0.034832109,NLD
0.0059195,0.032610539,NOR
0.0075356,0.032361401,SWE
0.0037951,0.049353647,CHE
0.0018561,0.012160141,CAN
0.0005889,-0.01056351,JPN
0.0022297,-0.002232105,AUS
0.0021245,0.004089841,NZL
-0.0006203,0.00241862,SGP
0.0056669,0.036339922,GBR
0.0065063,0.052220297,DNK
0.0057602,0.04817515,FRA
0.0053201,0.056258873,DEU
0.0105934,0.051853241,ITA
0.0031496,0.058107251,NLD
0.0070118,0.049273059,NOR
0.0099003,0.050932747,SWE
0.0036528,0.050119324,CHE
0.0012529,-0.008441271,CAN
0.000486,0.032122127,JPN
0.0019374,-0.032536132,AUS
0.0021597,-0.006702338,NZL
-0.0008136,0.008132591,SGP
0.0051747,-0.095544976,GBR
0.0117937,-0.000912583,DNK
0.0108276,4.15E-05,FRA
0.0052179,-0.00070695,DEU
-0.0080646,-0.127228938,ITA
0.0051725,-0.006560485,NLD
0.0176843,-0.023463841,NOR
0.0091907,-0.02068967,SWE
0.0032323,0.02112504,CHE
0.0047954,-0.040217901,CAN
0.0007918,0.029768583,JPN
0.0022802,-0.004850896,AUS
0.0026764,-0.006217491,NZL
-0.0003143,0.003896873,SGP
0.0042329,-0.118874402,GBR
0.0075675,-0.064145815,DNK
0.0055716,-0.076704552,FRA
0.0049172,-0.077766284,DEU
0.0113466,-0.060479274,ITA
0.0048914,-0.071935366,NLD
0.0063467,-0.069239979,NOR
0.007724,-0.077108682,SWE
0.0026138,-0.098873111,CHE
0.0033781,0.01047377,CAN
0.0004463,-0.025811732,JPN
0.0021521,-0.023559634,AUS
0.0021984,-0.019754766,NZL
-0.0008025,-0.018512794,SGP
0.0030449,-0.027572445,GBR
0.0112813,-0.032576958,DNK
0.0061225,-0.017850557,FRA
0.0046375,-0.026758767,DEU
0.0094534,-0.046953421,ITA
