,filing_date,municipality,amount
318,2009-03-23,Pittsburgh,94232.16
319,2009-03-24,Pittsburgh,0.0
320,2009-03-24,Pittsburgh,0.0
321,2009-03-24,Pittsburgh,102022.62
322,2009-03-25,Penn Hills Township,0.0
323,2009-03-25,Pittsburgh,45463.38
324,2009-03-25,Pitcairn Boro,69286.63
325,2009-03-25,Pittsburgh,41982.3
326,2009-03-25,Brentwood Boro,118751.39
327,2009-03-25,Castle Shannon Boro,99202.16
328,2009-03-26,Pittsburgh,68269.84
329,2009-03-26,City of Clairton,52179.72
330,2009-03-26,Coraopolis Boro,125418.35
331,2009-03-26,Pine Township,121034.8
332,2009-03-26,Whitaker Boro,85929.91
333,2009-03-27,Pittsburgh,100619.51
334,2009-03-26,Coraopolis Boro,38731.75
335,2009-03-26,Penn Hills Township,106398.76
336,2009-03-27,Plum Boro,1154237.07
337,2009-03-27,Pittsburgh,28523.82
338,2009-03-30,Harrison Township,101240.57
339,2009-03-30,Pittsburgh,14417.9
340,2009-03-31,Wilkinsburg Boro,26871.31
341,2009-03-31,Mt. Lebanon Township,75929.55
342,2009-04-01,Wilkinsburg Boro,53607.3
343,2009-04-01,Swissvale Boro,52121.71
344,2009-04-01,Moon Township,64909.55
345,2009-04-02,Forest Hills Boro,105914.16
346,2009-04-02,Wilkinsburg Boro,105645.95
347,2009-04-02,West Mifflin Boro,96848.01
348,2009-04-03,Pittsburgh,33298.96
349,2009-04-03,Carnegie Boro,0.0
350,2009-04-03,Carnegie Boro,0.0
351,2009-04-03,Pittsburgh,63031.74
352,2009-04-03,Richland Township,100438.55
353,2009-04-06,N. Braddock Boro,53414.02
354,2009-04-06,N. Braddock Boro,53414.02
355,2009-04-06,Mt. Oliver Boro,17596.79
356,2009-04-06,West Deer Township,91833.26
357,2009-04-07,N. Fayette Township,162046.17
358,2009-04-06,Penn Hills Township,137425.03
359,2009-04-06,Penn Hills Township,137425.03
360,2009-04-06,Penn Hills Township,137425.03
361,2009-04-06,Penn Hills Township,137425.03
362,2009-04-06,Penn Hills Township,137425.03
363,2009-04-06,Penn Hills Township,137425.03
364,2009-04-06,Penn Hills Township,137425.03
365,2009-04-06,Penn Hills Township,137425.03
366,2009-04-06,Penn Hills Township,137425.03
367,2009-04-06,Penn Hills Township,137425.03
368,2009-04-06,Penn Hills Township,137425.03
369,2009-04-07,Pittsburgh,0.0
370,2009-04-07,Wilkinsburg Boro,53607.3
371,2009-04-08,Pittsburgh,29243.79
372,2009-04-08,Swissvale Boro,57611.46
373,2009-04-08,Pittsburgh,81202.33
374,2009-04-08,Pittsburgh,43350.17
375,2009-04-08,Pittsburgh,67231.25
376,2009-04-08,Monroeville Boro,60371.81
377,2009-04-08,Coraopolis Boro,0.0
378,2009-04-08,Pittsburgh,46690.51
379,2009-04-08,Pittsburgh,77992.01
380,2009-04-08,Millvale Boro,67537.67
381,2009-04-08,Homestead Boro,43411.02
382,2009-04-08,Penn Hills Township,47417.62
383,2009-04-08,Wilkinsburg Boro,32634.38
384,2009-04-08,Pittsburgh,44029.93
385,2009-04-08,Pittsburgh,35785.83
386,2009-04-09,O'Hara Township,91456.11
387,2009-04-10,Pittsburgh,48580.2
388,2009-04-10,Penn Hills Township,106447.74
389,2009-04-10,Pittsburgh,74582.3
390,2009-04-10,Pittsburgh,29156.67
391,2009-04-10,Pittsburgh,42993.35
392,2009-04-13,Pittsburgh,75595.31
393,2009-04-13,Pittsburgh,75595.31
394,2009-04-14,Verona Boro,51552.01
395,2009-04-14,Pittsburgh,32813.21
396,2009-04-13,City of McKeesport,84134.45
397,2009-04-15,Mt. Oliver Boro,53865.15
398,2009-04-14,West View Boro,68660.84
399,2009-04-14,Penn Hills Township,33535.83
400,2009-04-14,Swissvale Boro,58932.19
401,2009-04-14,Swissvale Boro,58932.19
402,2009-04-14,Wilkinsburg Boro,38865.17
403,2009-04-15,City of McKeesport,1093000.0
404,2009-04-15,Aspinwall Boro,58124.05
405,2009-04-15,McKees Rocks Boro,23521.42
406,2009-04-15,Pittsburgh,1093000.0
407,2009-04-15,Pittsburgh,39998.31
408,2009-04-15,Pittsburgh,108019.58
409,2009-04-15,City of Duquesne,1093000.0
410,2009-04-15,City of Duquesne,1093000.0
411,2009-04-15,City of McKeesport,45265.56
412,2009-04-15,N. Fayette Township,0.0
413,2009-04-15,Bridgeville Boro,62097.5
414,2009-04-15,South Park Township,158968.4
415,2009-04-15,Pittsburgh,34609.49
416,2009-04-15,Pittsburgh,34609.49
417,2009-04-16,Pittsburgh,37156.96
418,2009-04-16,South Park Township,62367.71
419,2009-04-16,South Park Township,62367.71
420,2009-04-16,Upper St. Clair Twp.,230039.87
421,2009-04-16,Shaler Township,90261.42
422,2009-04-16,Shaler Township,90261.42
423,2009-04-16,Swissvale Boro,93038.86
424,2009-04-16,Swissvale Boro,93038.86
425,2009-04-16,Wilkinsburg Boro,60134.09
426,2009-04-17,Pittsburgh,40898.06
427,2009-04-17,Pittsburgh,40898.06
428,2009-04-17,Pittsburgh,40898.06
429,2009-04-17,Pittsburgh,0.0
430,2009-04-17,Pittsburgh,346613.78
431,2009-04-20,Pittsburgh,69274.26
432,2009-04-22,Pittsburgh,70276.07
433,2009-04-22,Pittsburgh,138913.37
434,2009-04-22,Penn Hills Township,74599.17
435,2009-04-22,Shaler Township,56774.43
436,2009-04-22,Wall Boro,67026.98
437,2009-04-22,Castle Shannon Boro,88499.8
438,2009-04-22,Pittsburgh,118076.35
439,2009-04-22,Collier Township,304741.41
440,2009-04-22,Wilkinsburg Boro,66393.07
441,2009-04-23,Castle Shannon Boro,165311.78
442,2009-04-23,N. Fayette Township,102284.43
443,2009-04-23,N. Fayette Township,102284.43
444,2009-04-23,Ross Township,116840.94
445,2009-04-24,Aspinwall Boro,169844.09
446,2009-04-24,Wilkinsburg Boro,27139.52
447,2009-04-24,City of Clairton,17311.25
448,2009-04-24,Pittsburgh,83056.42
449,2009-04-24,Stowe Township,34117.13
450,2009-04-24,Pittsburgh,199511.4
451,2009-04-24,Pittsburgh,199511.4
452,2009-04-24,Pittsburgh,199511.4
453,2009-04-24,Pittsburgh,199511.4
454,2009-04-24,Pittsburgh,199511.4
455,2009-04-24,Pittsburgh,199511.4
456,2009-04-24,Pittsburgh,199511.4
457,2009-04-24,Pittsburgh,199511.4
458,2009-04-27,Pittsburgh,26302.69
459,2009-04-27,Pittsburgh,52228.41
460,2009-04-27,Leet Township,65049.18
461,2009-04-27,Penn Hills Township,60340.49
462,2009-04-27,Pittsburgh,30391.88
463,2009-04-27,Pittsburgh,30391.88
464,2009-04-27,N. Braddock Boro,27832.64
465,2009-04-27,Wilkinsburg Boro,72562.78
466,2009-04-27,Leetsdale Boro,74918.69
467,2009-04-27,Penn Hills Township,78423.0
468,2009-04-27,Baldwin Boro,124218.04
469,2009-04-27,Bethel Park Boro,204552.25
470,2009-04-27,Carnegie Boro,103651.15
471,2009-04-27,Wilkinsburg Boro,43333.39
472,2009-04-28,Homestead Boro,69790.14
473,2009-04-28,Pittsburgh,247638.65
474,2009-04-28,Pittsburgh,247638.65
475,2009-04-28,Pittsburgh,247638.65
476,2009-04-28,Pittsburgh,247638.65
477,2009-04-28,Pittsburgh,44492.45
478,2009-04-28,Pittsburgh,44492.45
479,2009-04-28,Marshall Township,0.0
480,2009-04-28,Pine Township,0.0
481,2009-04-28,City of Duquesne,61613.45
482,2009-04-28,Pittsburgh,79467.77
483,2009-04-28,Pittsburgh,79467.77
484,2009-04-28,Pittsburgh,79467.77
485,2009-04-28,Pittsburgh,207281.6
486,2009-04-28,Penn Hills Township,65693.64
487,2009-04-29,Stowe Township,47436.71
488,2009-04-29,Upper St. Clair Twp.,107320.4
489,2009-04-29,West Deer Township,122745.29
490,2009-04-29,Monroeville Boro,138374.31
491,2009-04-30,Pittsburgh,42782.4
492,2009-04-30,Hampton Township,26335.37
493,2009-04-30,Mt. Lebanon Township,110787.05
494,2009-05-01,Penn Hills Township,100579.97
495,2009-05-01,Mt. Lebanon Township,112864.99
496,2009-05-01,Pittsburgh,296794.17
497,2009-05-01,Pittsburgh,296794.17
498,2009-05-01,Pittsburgh,296794.17
499,2009-05-01,Pittsburgh,296794.17
500,2009-05-01,Harmar Township,69114.52
501,2009-05-01,Pittsburgh,59150.5
502,2009-05-01,Swissvale Boro,51431.55
503,2009-05-01,Swissvale Boro,51431.55
504,2009-05-04,Braddock Hills Boro,37643.91
505,2009-05-04,Turtle Creek Boro,63791.33
506,2009-05-04,Pittsburgh,76322.14
507,2009-05-04,Swissvale Boro,23745.34
508,2009-05-04,Swissvale Boro,23745.34
509,2009-05-04,Bethel Park Boro,0.0
510,2009-05-05,Coraopolis Boro,48244.73
511,2009-05-06,Pittsburgh,106438.44
512,2009-05-06,Pittsburgh,25793.78
513,2009-05-06,Port Vue Boro,43463.12
514,2009-05-06,Reserve Township,31771.68
515,2009-05-06,Pittsburgh,69595.02
516,2009-05-06,Upper St. Clair Twp.,142500.61
517,2009-05-06,Upper St. Clair Twp.,211019.52
518,2009-05-06,McCandless Township,189103.67
519,2009-05-07,Pittsburgh,216496.63
520,2009-05-06,Pine Township,128208.15
521,2009-05-07,Munhall Boro,84699.85
522,2009-05-07,McCandless Township,3399756.75
523,2009-05-07,McCandless Township,1932827.36
524,2009-05-07,Wilkinsburg Boro,109238.41
525,2009-05-07,Pittsburgh,110289.66
526,2009-05-07,East McKeesport Boro,77760.06
527,2009-05-07,Pittsburgh,180079.2
528,2009-05-08,N. Braddock Boro,53267.66
529,2009-05-11,Hampton Township,84745.66
530,2009-05-11,Pittsburgh,52415.62
531,2009-05-12,Pittsburgh,65836.1
532,2009-05-12,Wilkinsburg Boro,14465.05
533,2009-05-12,Leetsdale Boro,64577.61
534,2009-05-12,Penn Hills Township,107955.46
535,2009-05-12,East Pittsburgh Boro,69567.84
536,2009-05-12,Wilkinsburg Boro,97713.86
537,2009-05-12,Penn Hills Township,67937.4
538,2009-05-12,Harrison Township,85854.31
539,2009-05-13,Fawn Township,132470.27
540,2009-05-13,Tarentum Boro,25293.06
541,2009-05-13,Ross Township,144006.57
542,2009-05-13,Pittsburgh,43582.17
543,2009-05-13,City of McKeesport,41950.65
544,2009-05-13,Pittsburgh,25815558.56
545,2009-05-13,Pittsburgh,25815558.56
546,2009-05-14,Brentwood Boro,0.0
547,2009-05-14,Pittsburgh,38507.08
548,2009-05-14,Stowe Township,24473.01
549,2009-05-14,Pittsburgh,66255.98
550,2009-05-15,Bethel Park Boro,88402.53
551,2009-05-15,Pittsburgh,51187.59
552,2009-05-15,City of Duquesne,56556.15
553,2009-05-15,Pittsburgh,32936.77
554,2009-05-18,Penn Hills Township,93234.79
555,2009-05-14,Sewickley Boro,43848.42
556,2009-05-15,Coraopolis Boro,136867.92
557,2009-05-15,Ross Township,204498.61
558,2009-05-18,Penn Hills Township,30980.52
559,2009-05-18,Glen Osborne Boro,71149.55
560,2009-05-18,Plum Boro,175988.78
561,2009-05-18,Penn Hills Township,119946.47
562,2009-05-18,Pittsburgh,52950.64
563,2009-05-18,Pittsburgh,26096.85
564,2009-05-18,Moon Township,153512.37
565,2009-05-18,Pittsburgh,14695.34
566,2009-05-20,Sharpsburg Boro,64695.07
567,2009-05-19,McKees Rocks Boro,195774.74
568,2009-05-19,West Deer Township,77620.68
569,2009-05-20,Pittsburgh,51562.01
570,2009-05-19,Monroeville Boro,77545.53
571,2009-05-20,Pittsburgh,192029.03
572,2009-05-21,Pittsburgh,107388.38
573,2009-05-20,Swissvale Boro,123896.08
574,2009-05-20,Pittsburgh,78738.1
575,2009-05-20,Collier Township,229190.29
576,2009-05-20,Franklin Park Boro,238117.4
577,2009-05-21,Scott Township,312057.12
578,2009-05-21,Homestead Boro,4101.88
579,2009-05-21,Pittsburgh,14767.11
580,2009-05-20,Pittsburgh,78829.54
581,2009-05-22,Monroeville Boro,97943.73
582,2009-05-21,Bethel Park Boro,121073.27
583,2009-05-22,Brentwood Boro,74958.61
584,2009-05-21,Turtle Creek Boro,33696.25
585,2009-05-21,Carnegie Boro,76373.16
586,2009-05-21,Mt. Lebanon Township,215174.31
587,2009-05-21,Pittsburgh,32144.47
588,2009-05-21,Pittsburgh,32144.47
589,2009-05-22,Penn Hills Township,68240.88
590,2009-05-22,Pittsburgh,0.0
591,2009-05-22,N. Fayette Township,53939.4
592,2009-05-22,Pittsburgh,120209.81
593,2009-05-26,Swissvale Boro,209450.29
594,2009-05-22,Shaler Township,93150.81
595,2009-05-22,Moon Township,111180.22
596,2009-05-26,Pittsburgh,35830.03
597,2009-05-26,Pittsburgh,83950.16
598,2009-05-26,Bellevue Boro,168781.09
599,2009-05-26,West Mifflin Boro,95398.33
600,2009-05-27,Pittsburgh,105141.04
601,2009-05-27,Elizabeth Township,139816.35
602,2009-05-27,Pittsburgh,35879.1
603,2009-05-27,Wilkinsburg Boro,30793.31
604,2009-05-28,Pittsburgh,309822.03
605,2009-05-28,Fawn Township,84104.08
606,2009-05-28,Pittsburgh,63977.76
607,2009-05-28,Wilkinsburg Boro,56687.1
608,2009-05-29,Pittsburgh,0.0
609,2009-05-29,Pittsburgh,60882.82
610,2009-06-01,City of Clairton,0.0
611,2009-06-01,City of Clairton,0.0
612,2009-06-01,Swissvale Boro,56709.37
613,2009-06-01,Penn Hills Township,42466.33
614,2009-06-01,Wilkinsburg Boro,95408.93
615,2009-06-01,Turtle Creek Boro,30341.24
616,2009-06-02,Pittsburgh,34273.09
