APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Property on Map,Latitude,Longitude
2359022001,02/16/2018,Single Family,4758 N SUNNYSLOPE AVE,LOS ANGELES,CA,91423.0,4,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"4758 N SUNNYSLOPE AVE
LOS ANGELES, CA 91423
(34.157384, -118.426876)",34.157384,-118.426876
4370022014,01/26/2018,Single Family,901 N STRADA VECCHIA ROAD,LOS ANGELES,CA,90077.0,5,First Credit Bank,Saman Samii,310-273-2500,,,,,"901 N STRADA VECCHIA ROAD
LOS ANGELES, CA 90077
(34.089718, -118.44384)",34.089718,-118.44384
4383006022,01/25/2018,Single Family,9847 W PORTOLA DR,LOS ANGELES,CA,90210.0,5,Lantzman Investments Inc,March Lantzman,619-474-5400,LRES,Kathy Golden,765   The City Drive South   Orange CA 92868,714-872-5822,"9847 W PORTOLA DR
LOS ANGELES, CA 90210
(34.110322, -118.433459)",34.110322,-118.433459
5065019024,10/24/2018,Multi-Family,5869 W DAUPHIN AVE 1-3,,CA,,10,Maria Fernandez,Michael Bergkvist,562-435-1426,,,,,"5869 W DAUPHIN AVE 1-3, CA
(27.871628, -82.4986)",27.871628,-82.4986
2125007008,06/07/2018,Single Family,6951 N ETIWANDA AVE,LOS ANGELES,CA,91335.0,3,US-BANK National Association,Jessica Vanella,612-973-2749,Advantage Conveyance,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"6951 N ETIWANDA AVE
LOS ANGELES, CA 91335
(34.197043, -118.531672)",34.197043,-118.531672
2261035019,12/14/2018,Single Family,15468 W MORRISON ST,LOS ANGELES,CA,91403.0,5,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"15468 W MORRISON ST
LOS ANGELES, CA 91403
(34.160296, -118.471627)",34.160296,-118.471627
2217011057,11/12/2018,Multi-Family,14235 W VANOWEN ST,VAN NUYS,CA,91405.0,6,Secured Income Fund-II LLC,James Gomes,408-370-4030,LA'S PREMIER PROPERTY MAINTENANCE LLC,EDDIE ZUBIA,350  S Figueroa ST 280 Los Angeles CA 90071,213-221-1244,"14235 W VANOWEN ST
VAN NUYS, CA 91405
(34.193929, -118.443275)",34.193929,-118.443275
4403011006,12/12/2018,Single Family,213 N TIGERTAIL ROAD,LOS ANGELES,CA,90049.0,11,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"213 N TIGERTAIL ROAD
LOS ANGELES, CA 90049
(34.061779, -118.47905)",34.061779,-118.47905
7414015018,01/01/2018,Single Family,1021 W LOWEN ST,LOS ANGELES,CA,90744.0,15,US Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"1021 W LOWEN ST
LOS ANGELES, CA 90744
(33.795173, -118.275929)",33.795173,-118.275929
4321015010,01/01/2018,Single Family,2038 S MALCOLM AVE,LOS ANGELES,CA,90025.0,5,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-383-2097,"2038 S MALCOLM AVE
LOS ANGELES, CA 90025
(34.046825, -118.431553)",34.046825,-118.431553
2673015094,11/29/2018,Single Family,15935 W COMMUNITY ST,LOS ANGELES,CA,91343.0,12,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"15935 W COMMUNITY ST
LOS ANGELES, CA 91343
(34.222889, -118.479941)",34.222889,-118.479941
2429023022,01/31/2018,Single Family,6901 W CAHUENGA PARK TR,LOS ANGELES,CA,90068.0,4,Window Rock Investment Op,Registration Department,602-759-7470,BSI Financial,registrations dept,5716   Corsa AVE  Westlake Village CA 91362,800-327-7861,"6901 W CAHUENGA PARK TR
LOS ANGELES, CA 90068
(34.123224, -118.345339)",34.123224,-118.345339
7456002029,12/05/2018,Multi-Family,1027 S CENTRE ST,SAN PEDRO,CA,90731.0,15,Flagstar Bank,Eric Moore,877-338-3791,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,"1027 S CENTRE ST
SAN PEDRO, CA 90731
(33.7346, -118.283549)",33.7346,-118.283549
2035024026,11/20/2018,Single Family,23222 W AETNA ST,LOS ANGELES,CA,91367.0,3,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,"23222 W AETNA ST
LOS ANGELES, CA 91367
(34.179862, -118.632883)",34.179862,-118.632883
2621005006,10/15/2018,Single Family,13640 W GARBER ST,LOS ANGELES,CA,91331.0,6,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"13640 W GARBER ST
LOS ANGELES, CA 91331
(34.248274, -118.430194)",34.248274,-118.430194
2168021039,10/25/2018,Vacant Residential,5211 N DARRO ROAD,LOS ANGELES,CA,91364.0,3,no one,mark stephenson,818-694-8951,no one,mark stephenson,22312   napa st.   west hills CA 91304,818-694-8951,"5211 N DARRO ROAD
LOS ANGELES, CA 91364
(34.163874, -118.599916)",34.163874,-118.599916
2701061007,11/29/2018,Single Family,20321 W VIA SANSOVINO,LOS ANGELES,CA,91326.0,12,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,"20321 W VIA SANSOVINO
LOS ANGELES, CA 91326
(34.296655, -118.576238)",34.296655,-118.576238
5210026015,01/10/2018,Multi-Family,1916 N HANCOCK ST,LOS ANGELES,CA,90031.0,1,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1916 N HANCOCK ST
LOS ANGELES, CA 90031
(34.066688, -118.20893)",34.066688,-118.20893
5090012016,01/01/2018,Single Family,929 S MUIRFIELD RD,LOS ANGELES,CA,90019.0,4,Wilmington Trust NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"929 S MUIRFIELD RD
LOS ANGELES, CA 90019
(34.058004, -118.330674)",34.058004,-118.330674
4360031033,07/10/2018,Single Family,10601 W WILSHIRE BLVD 1-72,,CA,,5,Bayview Loan Servicing,Miles Preservation LLC,951-808-3346,Miles Preservation LLC,Miles Preservation,27226   Via Industria   Temecula CA 92590,951-808-3346,"10601 W WILSHIRE BLVD 1-72, CA
(35.551083, -97.709025)",35.551083,-97.709025
6018004019,01/01/2018,Single Family,7217 S DENKER AVE,LOS ANGELES,CA,90047.0,8,"U.S. Bank, N.A., C/O Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"7217 S DENKER AVE
LOS ANGELES, CA 90047
(33.973995, -118.304625)",33.973995,-118.304625
2307024029,11/29/2018,Single Family,12383 W COVELLO ST,LOS ANGELES,CA,91605.0,2,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"12383 W COVELLO ST
LOS ANGELES, CA 91605
(34.208036, -118.402962)",34.208036,-118.402962
2216007013,12/17/2018,Single Family,7014 N COLBATH AVE,LOS ANGELES,CA,91405.0,2,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"7014 N COLBATH AVE
LOS ANGELES, CA 91405
(34.198098, -118.436712)",34.198098,-118.436712
5451026007,01/03/2018,Single Family,3749 N GLENALBYN DR,LOS ANGELES,CA,90065.0,1,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"3749 N GLENALBYN DR
LOS ANGELES, CA 90065
(34.093187, -118.216053)",34.093187,-118.216053
5104027010,10/19/2018,Single Family,1334 E 57TH ST,LOS ANGELES,CA,90011.0,9,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"1334 E 57TH ST
LOS ANGELES, CA 90011
(33.991109, -118.251275)",33.991109,-118.251275
2316002030,01/04/2018,Single Family,11622 W KESWICK ST,LOS ANGELES,CA,91605.0,6,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"11622 W KESWICK ST
LOS ANGELES, CA 91605
(34.210274, -118.385325)",34.210274,-118.385325
6055024041,01/18/2018,Single Family,9470 S HOBART BLVD,LOS ANGELES,CA,90047.0,8,Federal National Mortgage Association,N/A N/a,800-732-6643,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"9470 S HOBART BLVD
LOS ANGELES, CA 90047
(33.94901, -118.307858)",33.94901,-118.307858
4256023027,05/25/2018,Single Family,2568 S MILITARY AVE,LOS ANGELES,CA,90064.0,5,Shellpoint Mortgage,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"2568 S MILITARY AVE
LOS ANGELES, CA 90064
(34.035105, -118.430608)",34.035105,-118.430608
7559031001,01/02/2018,Single Family,635 S BYNNER DR,SAN PEDRO,CA,90732.0,15,US Bank National Association,Jessica Vanella,612-973-2749,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"635 S BYNNER DR
SAN PEDRO, CA 90732
(33.738399, -118.315752)",33.738399,-118.315752
7420012008,10/25/2018,Single Family,1240 N RAVENNA AVE,LOS ANGELES,CA,90744.0,15,LAKEVIEW LOAN SERVICING,Cassie Justice,757-955-8014,Bron,Jessica Hamlet,41951   Remington AVE 150 Temecula CA 92590,951-291-3285,"1240 N RAVENNA AVE
LOS ANGELES, CA 90744
(33.787835, -118.268817)",33.787835,-118.268817
5058021019,12/11/2018,Multi-Family,1871 W 25TH ST,LOS ANGELES,CA,90018.0,8,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"1871 W 25TH ST
LOS ANGELES, CA 90018
(34.03365, -118.305059)",34.03365,-118.305059
5588029022,01/01/2018,Single Family,2651 N ABERDEEN AVE,LOS ANGELES,CA,90027.0,4,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,"2651 N ABERDEEN AVE
LOS ANGELES, CA 90027
(34.116947, -118.289847)",34.116947,-118.289847
2566004026,11/30/2018,Vacant Residential,7129 W HILLROSE ST,LOS ANGELES,CA,91042.0,7,"BAYVIEW LOAN SERVICING, LLC",Michael Lopata,954-590-7676,M & M Mortgage Services,Ingrid Lopez,5525   Morella AVE  Valley Village CA 91607,786-871-0806,"7129 W HILLROSE ST
LOS ANGELES, CA 91042
(34.262797, -118.286691)",34.262797,-118.286691
2726015013,10/29/2018,Single Family,19501 W ROMAR ST,LOS ANGELES,CA,91324.0,12,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Edward Zubiz,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"19501 W ROMAR ST
LOS ANGELES, CA 91324
(34.254537, -118.55821)",34.254537,-118.55821
5690017008,11/24/2018,Multi-Family,1445  YOSEMITE DR,LOS ANGELES,CA,90041.0,14,COSIS LLC,Colin Hammett,916-895-6540,COSIS LLC,Colin Hammett,375   Via De La Mesa   Newbury Park CA 91342,916-895-6540,"1445 YOSEMITE DR
LOS ANGELES, CA 90041
(34.132704, -118.197452)",34.132704,-118.197452
2615028026,01/01/2018,Single Family,14325 W TORI CT,LOS ANGELES,CA,91345.0,7,"U.S. Bank, N.A., C/O Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"14325 W TORI CT
LOS ANGELES, CA 91345
(34.267105, -118.445328)",34.267105,-118.445328
2175024025,12/18/2018,Single Family,4868 N ADELE CT,LOS ANGELES,CA,91364.0,3,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"4868 N ADELE CT
LOS ANGELES, CA 91364
(34.159318, -118.572731)",34.159318,-118.572731
5443006026,01/11/2018,Single Family,1916 W WHITMORE AVE,LOS ANGELES,CA,90039.0,13,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1916 W WHITMORE AVE
LOS ANGELES, CA 90039
(34.095644, -118.251188)",34.095644,-118.251188
6088023017,12/20/2018,Single Family,11846 S ORCHARD AVE,LOS ANGELES,CA,90044.0,15,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"11846 S ORCHARD AVE
LOS ANGELES, CA 90044
(33.92515, -118.288108)",33.92515,-118.288108
5525012006,01/02/2018,Multi-Family,727 N ALTA VISTA BLVD,LOS ANGELES,CA,90046.0,5,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,OGIWA INCORPORATED,Giwa Olatunji,123   Morgan AL  PASADENA CA 91105,626-380-6275,"727 N ALTA VISTA BLVD
LOS ANGELES, CA 90046
(34.084449, -118.347442)",34.084449,-118.347442
2613024025,11/27/2018,Single Family,11221 N AMBOY AVE,LOS ANGELES,CA,91340.0,7,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"11221 N AMBOY AVE
LOS ANGELES, CA 91340
(34.273897, -118.444731)",34.273897,-118.444731
2694007022,04/30/2018,Single Family,17169 W STARE ST,LOS ANGELES,CA,91325.0,12,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,"17169 W STARE ST
LOS ANGELES, CA 91325
(34.253069, -118.507598)",34.253069,-118.507598
5585027017,01/08/2018,Single Family,6242 W TEMPLE HILL DR,LOS ANGELES,CA,90068.0,4,US Bank National Association,US BANK National Association,612-973-2749,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"6242 W TEMPLE HILL DR
LOS ANGELES, CA 90068
(34.110153, -118.324916)",34.110153,-118.324916
2616022012,01/01/2018,Single Family,11163 N TELFAIR AVE,LOS ANGELES,CA,91331.0,7,"HSBC Bank USA, c/o SELECT PORTFOLIO SERVICING",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"11163 N TELFAIR AVE
LOS ANGELES, CA 91331
(34.272738, -118.435245)",34.272738,-118.435245
2040009004,06/13/2018,Single Family,22647 W BURBANK BLVD,LOS ANGELES,CA,91367.0,3,US Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"22647 W BURBANK BLVD
LOS ANGELES, CA 91367
(34.171943, -118.62037)",34.171943,-118.62037
6033004037,07/17/2018,Single Family,1301 W 84TH ST,LOS ANGELES,CA,90044.0,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"1301 W 84TH ST
LOS ANGELES, CA 90044
(33.962466, -118.29837)",33.962466,-118.29837
2354008036,01/01/2018,Single Family,4702 N KRAFT AVE,LOS ANGELES,CA,91602.0,2,"HSBC Bank USA, c/o SELECT PORTFOLIO SERVICING",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"4702 N KRAFT AVE
LOS ANGELES, CA 91602
(34.155982, -118.380087)",34.155982,-118.380087
5561007010,11/19/2018,Single Family,9211 W NIGHTINGALE DR,HOLLYWOOD,CA,90069.0,4,"D&A International Investment Group, LLC",David Alexanderian,818-649-2525,"D&A International  Investment Group, LLC",DAVID ALEXANDERIAN,711   Ivy Street   Glendale CA 91204,818-649-2525,"9211 W NIGHTINGALE DR
HOLLYWOOD, CA 90069
(34.103836, -118.388967)",34.103836,-118.388967
4019006027,01/11/2018,Single Family,4235 W 59TH ST,LOS ANGELES,CA,90043.0,8,DITECH FINANCIAL LLC,Property Pres Department,855-577-1602,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"4235 W 59TH ST
LOS ANGELES, CA 90043
(33.98709, -118.348847)",33.98709,-118.348847
4125013135,01/15/2018,Single Family,8620 S BELFORD AVE A-F,LOS ANGELES,CA,90045.0,11,SELENE FINANCE LP,CUSTOMER SERVICE,877-735-3637,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"8620 S BELFORD AVE A-F
LOS ANGELES, CA 90045
(33.95953, -118.383948)",33.95953,-118.383948
6050006023,12/07/2018,Single Family,831 E 94TH ST,LOS ANGELES,CA,90002.0,9,CENLAR MORTGAGE FSB,PATRICIA BRACEY,609-883-3900,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"831 E 94TH ST
LOS ANGELES, CA 90002
(33.951132, -118.259707)",33.951132,-118.259707
2504001025,01/09/2018,Single Family,13375 N PHILLIPPI AVE,LOS ANGELES,CA,91342.0,7,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"13375 N PHILLIPPI AVE
LOS ANGELES, CA 91342
(34.315109, -118.449756)",34.315109,-118.449756
6119012061,06/15/2018,Single Family,14703 S DENVER AVE,LOS ANGELES,CA,90248.0,15,Wells Fargo Bank N.A C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-387-2097,"14703 S DENVER AVE
LOS ANGELES, CA 90248
(33.898751, -118.284438)",33.898751,-118.284438
5671011011,11/29/2018,Single Family,5243 N NORTH MAYWOOD AVE,LOS ANGELES,CA,90041.0,14,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"5243 N NORTH MAYWOOD AVE
LOS ANGELES, CA 90041
(34.141743, -118.211699)",34.141743,-118.211699
2747014147,11/13/2018,Single Family,10000 N OWENSMOUTH AVE,LOS ANGELES,CA,91311.0,12,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"10000 N OWENSMOUTH AVE
LOS ANGELES, CA 91311
(34.252303, -118.601664)",34.252303,-118.601664
4236005001,11/13/2018,Multi-Family,2415 S GLYNDON AVE,VENICE,CA,90291.0,11,"Easy Realty and Loans Inc, a California corporation, Beneficiary",Matthew Matoesian,323-319-2583,"Easy Realty and Loans, Inc. a California corporation, Beneficiary",Matthew Matoesian,6125   Washington BLVD 300 Culver city CA 90232,323-319-2583,"2415 S GLYNDON AVE
VENICE, CA 90291
(33.99528, -118.448793)",33.99528,-118.448793
2076012046,07/06/2018,Single Family,4510 N STARK AVE,LOS ANGELES,CA,91364.0,3,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"4510 N STARK AVE
LOS ANGELES, CA 91364
(34.15199, -118.623749)",34.15199,-118.623749
5558021017,11/29/2018,Single Family,1713 N QUEENS CT,LOS ANGELES,CA,90069.0,4,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"1713 N QUEENS CT
LOS ANGELES, CA 90069
(34.101299, -118.3778)",34.101299,-118.3778
2601028035,09/24/2018,Single Family,12006 N HIGHWATER ROAD,LOS ANGELES,CA,91344.0,12,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Ed Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"12006 N HIGHWATER ROAD
LOS ANGELES, CA 91344
(34.289339, -118.519211)",34.289339,-118.519211
2038027030,11/06/2018,Single Family,6701 N SALE AVE,LOS ANGELES,CA,91307.0,12,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"6701 N SALE AVE
LOS ANGELES, CA 91307
(34.192505, -118.618545)",34.192505,-118.618545
2701068047,11/29/2018,Single Family,11407 N SANTINI LANE,LOS ANGELES,CA,91326.0,12,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,"11407 N SANTINI LANE
LOS ANGELES, CA 91326
(34.278566, -118.587486)",34.278566,-118.587486
6023012011,07/11/2018,Single Family,1000 E 74TH ST,LOS ANGELES,CA,90001.0,9,U.S. Bank N.A. C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"1000 E 74TH ST
LOS ANGELES, CA 90001
(33.973003, -118.257629)",33.973003,-118.257629
7562015008,01/01/2018,Single Family,1642 W 22ND ST,SAN PEDRO,CA,90732.0,15,Bank of New York Mellon C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1642 W 22ND ST
SAN PEDRO, CA 90732
(33.725276, -118.312858)",33.725276,-118.312858
2647028096,01/01/2018,Single Family,14333 W VAN NUYS BLVD,LOS ANGELES,CA,91331.0,6,Deutsche Bank C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"14333 W VAN NUYS BLVD
LOS ANGELES, CA 91331
(34.248674, -118.445968)",34.248674,-118.445968
2423030052,10/25/2018,Single Family,10650 W CHIQUITA ST,LOS ANGELES,CA,91602.0,2,Kenny Lim,Kenny Lim,818-913-2577,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"10650 W CHIQUITA ST
LOS ANGELES, CA 91602
(34.14412, -118.364003)",34.14412,-118.364003
2510020035,06/02/2018,Single Family,13463 W HUBBARD ST,LOS ANGELES,CA,91342.0,7,Bayview,Eric Moore,877-338-3791,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,"13463 W HUBBARD ST
LOS ANGELES, CA 91342
(34.310668, -118.426682)",34.310668,-118.426682
5442019030,01/05/2018,Single Family,2758 N DENBY AVE,LOS ANGELES,CA,90039.0,13,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,"2758 N DENBY AVE
LOS ANGELES, CA 90039
(34.102177, -118.24593)",34.102177,-118.24593
